"tab_name","tab_desc","series","module","var","var_desc","analyzable","binary_ref_group","comment_var","version_date","is_comment","is_weight","is_questionnaire","is_ecological","is_binary","is_ordinal","categorical_ref_group","categorical_levels","N","age_range_low","age_range_high","age_median","female_N","female_pct","white_N","white_pct","mexican_N","mexican_pct","black_N","black_pct","other_hispanic_N","other_hispanic_pct","other_N","other_pct","series_num","category","sub_category"
"l02_c","Hepatitis A, B, C and D","2003-2004","laboratory","LBXHBC","Hepatitis B core antibody",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,29849,6,85,28,15314,0.513049013367282,12083,0.404804181044591,8105,0.271533384703005,7304,0.244698314851419,1200,0.0402023518375825,1157,0.0387617675634025,3,"viral infection",NA
"l02_c","Hepatitis A, B, C and D","2003-2004","laboratory","LBDHBG","Hepatitis B surface antigen",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,29849,6,85,28,15314,0.513049013367282,12083,0.404804181044591,8105,0.271533384703005,7304,0.244698314851419,1200,0.0402023518375825,1157,0.0387617675634025,3,"viral infection",NA
"l02_c","Hepatitis A, B, C and D","2003-2004","laboratory","LBDHCV","Hepatitis C antibody (confirmed)",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,29747,6,85,28,15269,0.513295458365549,12041,0.404780313981242,8086,0.271825730325747,7269,0.244360775876559,1198,0.0402729687027263,1153,0.0387602111137258,3,"viral infection",NA
"l02_c","Hepatitis A, B, C and D","2003-2004","laboratory","LBDHD","Hepatitis D (anti-HDV)",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,29849,6,85,28,15314,0.513049013367282,12083,0.404804181044591,8105,0.271533384703005,7304,0.244698314851419,1200,0.0402023518375825,1157,0.0387617675634025,3,"viral infection",NA
"l02hbs_c","Hepatitis B Surface Antibody","2003-2004","laboratory","LBXHBS","Hepatitis B Surface Antibody",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,31838,2,85,25,16275,0.511181606884855,12660,0.397638042590615,8710,0.273572460581695,7879,0.247471574847666,1317,0.0413656636723412,1272,0.0399522583076826,3,"viral infection",NA
"l02hpa_c","Hepatitis A","2003-2004","laboratory","LBXHA","Hepatitis A Antibody (Anti-HAV)",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,32261,2,85,24,16479,0.510802516970956,12760,0.395524007315334,8894,0.27568891230898,7976,0.247233501751341,1342,0.0415982145624748,1289,0.0399553640618704,3,"viral infection",NA
"l03_c","Human Immunodeficiency Virus","2003-2004","laboratory","LBDHI","HIV antibody test result",1,2,NA,"2009-11-13",0,0,0,0,1,NA,NA,NA,11921,18,49,30,6396,0.536532170119956,4836,0.40567066521265,3226,0.270614881301904,2803,0.235131280932808,562,0.0471436959986578,494,0.0414394765539804,3,"viral infection",NA
"l03_c","Human Immunodeficiency Virus","2003-2004","laboratory","LBXCD4","CD4 counts (cells/mm3)",1,NA,NA,"2009-11-13",0,0,0,0,0,NA,NA,NA,113,18,49,37,42,0.371681415929204,36,0.31858407079646,27,0.238938053097345,41,0.36283185840708,7,0.0619469026548673,2,0.0176991150442478,3,"viral infection",NA
"l03_c","Human Immunodeficiency Virus","2003-2004","laboratory","LBXCD8","CD8 counts (cells/mm3)",1,NA,NA,"2009-11-13",0,0,0,0,0,NA,NA,NA,113,18,49,37,42,0.371681415929204,36,0.31858407079646,27,0.238938053097345,41,0.36283185840708,7,0.0619469026548673,2,0.0176991150442478,3,"viral infection",NA
"l04per_c","Urinary Perchlorate","2003-2004","laboratory","URXUP8","Perchlorate, urine (ng/mL)",1,NA,NA,"2009-11-13",0,0,0,0,0,NA,NA,NA,10219,6,85,27,5225,0.511302475780409,4131,0.404246990899305,2589,0.253351599960857,2713,0.265485859673158,315,0.0308249339465701,471,0.0460906155201096,3,"perchlorate",NA
"l04per_c","Urinary Perchlorate","2003-2004","laboratory","URXUP8CA","Urine perchlorate (ug per g creatinine)",1,NA,NA,"2009-11-13",0,0,0,0,0,NA,NA,NA,2504,6,85,28,1284,0.512779552715655,1064,0.424920127795527,616,0.246006389776358,631,0.251996805111821,81,0.0323482428115016,112,0.0447284345047923,3,"perchlorate",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXWBF","Water Bromoform (ng/mL)",1,NA,"LBDWBFLC","2009-11-13",0,0,0,1,0,NA,NA,NA,6348,12,85,36,3356,0.528670447385003,2824,0.444864524259609,1518,0.239130434782609,1493,0.235192186515438,234,0.0368620037807183,279,0.0439508506616257,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXWCF","Water Chloroform (ng/mL)",1,NA,"LBDWCFLC","2009-11-13",0,0,0,1,0,NA,NA,NA,6349,12,85,36,3359,0.529059694440069,2808,0.442274373917152,1531,0.241140337060954,1497,0.235785163017798,234,0.0368561978264294,279,0.0439439281776658,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXWBM","Water Bromodichloromethane (ng/mL)",1,NA,"LBDWBMLC","2009-11-13",0,0,0,1,0,NA,NA,NA,6348,12,85,36,3363,0.529773156899811,2821,0.444391934467549,1524,0.24007561436673,1490,0.234719596723377,233,0.0367044738500315,280,0.0441083805923125,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXWCM","Water Dibromochloromethane (ng/mL)",1,NA,"LBDWCMLC","2009-11-13",0,0,0,1,0,NA,NA,NA,6369,12,85,36,3370,0.529125451405244,2837,0.445438844402575,1522,0.238970010990736,1496,0.234887737478411,235,0.0368974721306328,279,0.0438059349976448,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXWME","Water MTBE (ng/mL)",1,NA,"LBDWMELC","2009-11-13",0,0,0,1,0,NA,NA,NA,6250,12,85,36,3301,0.52816,2792,0.44672,1486,0.23776,1465,0.2344,228,0.03648,279,0.04464,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV1A","Blood 1,1-Dichloroethane (ng/mL)",1,NA,"LBDV1ALC","2009-11-13",0,0,0,0,1,NA,NA,NA,4564,12,85,36,2383,0.522129710780018,2028,0.444347063978966,1045,0.228965819456617,1132,0.248028045574058,143,0.0313321647677476,216,0.0473269062226117,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV1D","Blood 1,2-Dichlorobenzene (ng/mL)",1,NA,"LBDV1DLC","2009-11-13",0,0,0,0,1,NA,NA,NA,4414,12,85,35,2309,0.523108291798822,1957,0.443362029904848,1016,0.230176710466697,1093,0.247621205256004,138,0.0312641594925238,210,0.0475758948799275,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV1E","Blood 1,1-Dichloroethene (ng/mL)",1,NA,"LBDV1ELC","2009-11-13",0,0,0,0,1,NA,NA,NA,4534,12,85,36,2361,0.52073224525805,2013,0.443978826643141,1041,0.229598588442876,1123,0.247684164093516,141,0.0310983678870754,216,0.0476400529333922,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV2A","Blood 1,2-Dichloroethane (ng/mL)",1,NA,"LBDV2ALC","2009-11-13",0,0,0,0,0,NA,NA,NA,4435,12,85,36,2319,0.522886133032694,1973,0.444870349492672,1030,0.232243517474634,1084,0.244419391206313,137,0.0308906426155581,211,0.047576099210823,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV2C","Blood cis-1,2-Dichloroethene (ng/mL)",1,NA,"LBDV2CLC","2009-11-13",0,0,0,0,1,NA,NA,NA,4510,12,85,36,2359,0.523059866962306,2009,0.445454545454545,1024,0.227050997782705,1122,0.248780487804878,140,0.0310421286031042,215,0.0476718403547672,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV2T","Blood trans-1,2-Dichloroethene (ng/mL)",1,NA,"LBDV2TLC","2009-11-13",0,0,0,0,1,NA,NA,NA,4564,12,85,36,2382,0.521910604732691,2027,0.444127957931639,1046,0.229184925503944,1132,0.248028045574058,143,0.0313321647677476,216,0.0473269062226117,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV3B","Blood 1,3-Dichlorobenzene (ng/mL)",1,NA,"LBDV3BLC","2009-11-13",0,0,0,0,1,NA,NA,NA,4486,12,85,36,2335,0.520508247882301,2002,0.446277307177887,1040,0.231832367365136,1088,0.242532322781988,143,0.0318769505127062,213,0.0474810521622827,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV4A","Blood 1,1,2-Trichloroethane (ng/mL)",1,NA,"LBDV4ALC","2009-11-13",0,0,0,0,0,NA,NA,NA,1369,20,59,38,699,0.510591672753835,679,0.495982468955442,267,0.195032870708546,300,0.219138056975895,52,0.0379839298758218,71,0.0518626734842951,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV4C","Blood Tetrachloroethene (ng/mL)",1,NA,"LBDV4CLC","2009-11-13",0,0,0,0,0,NA,NA,NA,5701,12,85,37,2981,0.522890720926153,2596,0.455358708998421,1299,0.2278547623224,1342,0.235397298719523,207,0.0363094194001052,257,0.045079810559551,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXV4T","Blood 1,1,2,2-Tetrachloroethane (ng/mL)",1,NA,NA,"2009-11-13",0,0,0,0,0,NA,NA,NA,1367,20,59,38,698,0.510607168983175,679,0.496708119970739,266,0.194586686174104,299,0.218727139722019,52,0.0380395025603511,71,0.0519385515727871,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXVBF","Blood Bromoform (pg/mL)",1,NA,"LBDVBFLC","2009-11-13",0,0,0,0,0,NA,NA,NA,5463,12,85,36,2865,0.524437122460187,2445,0.447556287753981,1307,0.239245835621453,1267,0.23192385136372,191,0.0349624748306791,253,0.0463115504301666,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXVBM","Blood Bromodichloromethane (pg/mL)",1,NA,"LBDVBMLC","2009-11-13",0,0,0,0,0,NA,NA,NA,5627,12,85,36,2942,0.522836324862271,2508,0.445708192642616,1354,0.240625555358095,1300,0.23102896747823,207,0.0367869202061489,258,0.0458503643149103,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXVBZ","Blood Benzene (ng/mL)",1,NA,"LBDVBZLC","2009-11-13",0,0,0,0,0,NA,NA,NA,5671,12,85,36,2985,0.526362193616646,2585,0.455827896314583,1323,0.233292188326574,1307,0.230470816434491,207,0.0365014988538177,249,0.0439076000705343,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXVCB","Blood Chlorobenzene (ng/mL)",1,NA,"LBDVCBLC","2009-11-13",0,0,0,0,1,NA,NA,NA,4442,12,85,36,2319,0.522062134173796,1967,0.442818550202611,1007,0.226699684826655,1117,0.25146330481765,142,0.0319675821701936,209,0.0470508779828906,3,"volatile compounds",NA
"l04voc_c","Volatile Organic Compounds","2003-2004","laboratory","LBXVCF","Blood Chloroform (pg/mL)",1,NA,"LBDVCFLC","2009-11-13",0,0,0,0,0,NA,NA,NA,5367,12,85,36,2795,0.520775107136203,2392,0.445686603316564,1295,0.24128936090926,1252,0.233277436184088,186,0.0346562325321409,242,0.0450903670579467,3,"volatile compounds",NA
