ID,SDMVPSU,SDMVSTRA,WTMEC8YR,WTDR8YR,WTSVOC8Y,WTSHM8YR,WTSPO8YR,WTSAU8YR,WTSAF8YR,WTSCI8YR,WTSPH8YR
1,1,1,5491.449448,7404.946927,NA,NA,NA,NA,NA,NA,NA
2,2,3,14162.69245,13449.85445,4.625,NA,NA,NA,NA,30293.07365,NA
3,3,2,23096.12847,17194.42017,NA,NA,57047.43733,71367.03698,NA,60984.92058,NA
4,4,1,5125.63001,3579.914694,NA,NA,NA,NA,NA,NA,NA
5,5,2,49722.53287,63873.17959,NA,158117.6545,NA,NA,NA,117447.6028,NA
6,6,2,19828.30022,43503.96661,NA,68804.20177,NA,NA,NA,NA,NA
7,7,2,12762.7117,6992.163818,2.97,NA,41223.55881,NA,NA,28830.81099,NA
8,8,1,15755.29393,8936.989101,NA,NA,43642.16419,NA,NA,38013.21914,NA
9,9,2,3787.935123,3380.904749,NA,NA,NA,NA,NA,7347.462478,NA
10,10,1,11222.90429,13879.79192,NA,NA,NA,30526.29966,11995.54619,30101.20845,NA
11,11,2,19491.58466,60416.71842,NA,NA,53991.6895,NA,NA,46490.1023,NA
12,12,2,47747.10703,61808.52026,NA,167114.8746,NA,NA,NA,109654.3015,51215.05217
13,13,2,921.975414,1523.933069,NA,NA,NA,NA,NA,NA,NA
14,14,1,9743.366895,NA,3.685,NA,NA,NA,NA,NA,NA
15,15,2,57259.58895,92772.15904,NA,NA,NA,171778.7669,56836.35527,144683.9974,NA
16,16,1,6282.997962,4304.178803,9.36,NA,NA,19791.44358,NA,NA,NA
17,17,1,5195.213609,5657.21198,NA,NA,NA,NA,NA,NA,NA
18,18,1,17211.97172,14636.16324,NA,NA,NA,NA,NA,NA,NA
19,19,2,1058.165022,1721.919575,NA,NA,NA,NA,NA,NA,NA
20,20,2,8368.441141,9111.721567,NA,NA,NA,23013.21314,NA,23238.09724,10770.34459
21,21,2,1455.314865,3144.558334,NA,4438.710339,NA,NA,NA,4201.244823,NA
22,22,2,3479.124123,3074.554723,NA,NA,10332.99865,NA,NA,NA,NA
23,23,2,2934.309391,1177.333585,NA,NA,NA,8216.066295,NA,7970.433928,NA
24,24,2,40934.24332,52583.81109,6.435,NA,116253.251,NA,37847.58882,NA,NA
25,25,1,67626.9175,56704.7497,NA,208967.1751,NA,NA,NA,138976.7688,NA
26,26,2,930.3452376,608.0616872,NA,2567.752856,NA,NA,NA,NA,NA
27,27,2,967.5490399,2090.622772,NA,2951.024572,NA,NA,NA,0,NA
28,28,2,20553.59564,14750.93972,NA,75842.76793,NA,NA,NA,48477.3335,NA
29,29,2,23977.2608,28034.39136,4.5,NA,NA,83680.64021,NA,71274.60374,NA
30,30,2,5857.536274,6566.245384,NA,NA,NA,NA,NA,NA,NA
31,31,2,1186.866954,2796.90007,NA,NA,NA,4260.852366,NA,2770.04661,NA
32,32,1,7921.575527,4810.380423,NA,NA,16556.09285,25824.33622,NA,15365.48992,NA
33,33,1,4731.617235,4921.801488,NA,13674.37381,NA,NA,NA,NA,NA
34,34,1,13531.74753,5815.319392,NA,NA,34641.27367,NA,NA,31209.97875,13217.39676
35,35,2,17615.57538,16695.98687,NA,NA,NA,NA,NA,NA,NA
36,36,2,7191.756219,9128.020066,NA,NA,NA,NA,NA,13949.8585,NA
37,37,2,17615.57538,14979.36675,NA,NA,NA,NA,NA,NA,NA
38,38,1,3070.594332,4347.297453,NA,NA,NA,NA,NA,NA,NA
39,39,1,5653.909343,NA,NA,NA,NA,NA,NA,NA,NA
40,40,1,1155.090691,780.1100494,3.81,3580.781142,NA,NA,NA,NA,NA
41,41,1,13559.76805,11530.51968,NA,NA,NA,NA,NA,NA,NA
42,42,1,4549.819078,2164.23781,NA,15742.37401,NA,NA,NA,11482.8763,NA
43,43,2,18232.6737,13573.71443,NA,58344.55583,NA,NA,NA,48143.05387,NA
44,44,2,17586.61578,9975.783009,NA,NA,48890.79186,NA,NA,48421.75489,NA
45,45,1,10177.52045,6917.43608,NA,NA,34603.56953,NA,12656.18887,NA,NA
46,46,2,5602.423419,3837.950015,22.905,NA,NA,NA,NA,13614.70451,NA
47,47,1,0,NA,NA,NA,NA,NA,NA,NA,NA
48,48,1,10031.37339,14130.26769,NA,NA,NA,NA,NA,NA,NA
49,49,1,1584.100278,2848.67488,NA,NA,6843.3132,NA,NA,4064.127045,NA
50,50,1,4205.603888,4579.598547,NA,NA,NA,NA,NA,NA,NA
51,51,1,9196.346369,12954.04237,NA,NA,NA,NA,NA,NA,NA
52,52,1,4578.848201,2178.046255,NA,0,NA,NA,NA,NA,NA
53,53,1,1399.68675,1918.289246,NA,NA,4241.050852,NA,NA,3675.80369,NA
54,54,2,4087.1777,NA,NA,NA,NA,NA,NA,NA,NA
55,55,2,4119.143983,4085.928111,3.3,14581.7697,NA,NA,NA,12085.06069,NA
56,56,1,44884.26318,46090.38379,NA,NA,NA,120289.8253,41933.14689,NA,NA
57,57,2,51304.87487,28380.03487,NA,NA,NA,137497.0647,47232.10759,121742.7889,NA
58,58,1,996.8167045,NA,NA,NA,NA,3578.571969,NA,2413.998099,NA
59,59,1,1236.027946,961.6197611,3.095,3460.878247,NA,NA,NA,2167.078215,NA
60,60,2,27419.5334,NA,NA,NA,NA,NA,NA,72400.79516,NA
61,61,1,5306.29367,NA,NA,NA,NA,NA,NA,10292.62444,NA
62,62,1,24893.78154,31314.71506,NA,NA,NA,77917.53622,NA,79262.05191,NA
63,63,2,806.8367182,661.2183331,NA,NA,NA,NA,NA,NA,NA
64,64,1,7118.260151,7392.68097,2.08,NA,NA,NA,NA,15995.763,NA
65,65,2,35311.69247,50963.17576,NA,NA,75567.02188,117941.0528,NA,NA,NA
66,66,1,13744.83671,22511.67149,NA,34774.43688,NA,NA,NA,NA,13771.18527
67,67,1,1383.357482,577.1277025,NA,4219.24032,NA,NA,NA,3574.381108,NA
68,68,1,1408.756988,3133.699059,NA,3888.169287,NA,NA,NA,0,NA
69,69,1,17411.93106,17521.58611,NA,68428.88907,NA,NA,NA,38638.69379,16709.99948
70,70,2,3377.45096,NA,NA,NA,NA,NA,NA,8826.56142,NA
71,71,2,0,NA,NA,NA,NA,NA,NA,NA,NA
72,72,2,2126.266278,4931.933629,NA,NA,6315.010846,NA,NA,0,NA
73,73,1,6344.947628,8053.22198,NA,NA,12182.29945,NA,NA,NA,NA
74,74,1,1725.245557,719.7611736,NA,NA,NA,NA,NA,3917.925633,NA
75,75,2,2399.830183,3295.406816,NA,6911.510928,NA,NA,NA,NA,NA
76,76,1,949.3492423,620.4824603,NA,NA,2876.528204,NA,NA,2086.533082,NA
77,77,2,40402.56284,22349.26301,NA,141408.97,NA,NA,37237.06011,94925.5848,NA
78,78,3,23685.79158,17633.40782,NA,NA,NA,79110.54388,NA,62541.91563,NA
79,79,1,16549.61927,NA,NA,NA,NA,NA,NA,NA,NA
80,80,1,6410.305651,6105.251093,4.08,NA,NA,20192.4628,NA,NA,NA
81,81,2,47511.32898,76977.99877,NA,NA,156787.3856,NA,NA,NA,50339.54278
82,82,1,24460.72178,20800.12231,NA,NA,NA,NA,NA,NA,NA
83,83,1,5351.51119,5061.976376,4.86,NA,NA,NA,NA,NA,NA
84,84,2,20153.17684,11791.32377,NA,NA,55824.29985,NA,NA,48068.09039,NA
85,85,1,1323.766778,NA,NA,4037.488673,NA,NA,NA,NA,NA
86,86,2,26345.69602,22090.70225,3.345,93263.76392,NA,NA,NA,NA,NA
87,87,2,2792.796913,1825.336159,NA,7708.119479,NA,NA,NA,0,NA
88,88,1,1248.332133,686.3476068,NA,NA,NA,NA,NA,3278.321997,NA
89,89,1,6163.651828,4304.904511,NA,NA,NA,NA,NA,NA,NA
90,90,2,0,NA,NA,NA,NA,NA,NA,NA,NA
91,91,2,17493.77243,NA,NA,NA,NA,52831.19275,NA,41725.04619,NA
92,92,2,0,NA,NA,NA,NA,NA,NA,NA,NA
93,93,1,28313.71831,57533.08524,3.59,NA,NA,NA,25670.05836,NA,NA
94,94,2,5018.903194,4747.363595,3.695,NA,NA,15809.54506,NA,12518.33885,NA
95,95,2,0,NA,NA,NA,NA,NA,NA,NA,NA
96,96,1,13827.49291,7575.513563,NA,41482.47873,NA,NA,NA,NA,NA
97,97,2,20383.39925,30496.63003,NA,NA,NA,55442.84597,NA,0,18399.48944
98,98,2,0,NA,NA,NA,NA,NA,NA,NA,NA
99,99,2,0,NA,NA,NA,NA,NA,NA,NA,NA
100,100,1,4246.329159,9002.997579,NA,NA,17622.26601,NA,NA,0,NA
101,101,1,5874.199531,6110.30913,2.52,NA,NA,17975.05056,NA,NA,NA
102,102,1,64112.16135,53757.64853,NA,NA,NA,179514.0518,NA,157136.7557,NA
103,103,2,6432.868947,9339.26369,NA,NA,NA,NA,NA,NA,NA
104,104,2,3765.958389,3983.483666,NA,NA,NA,NA,NA,NA,NA
105,105,2,2740.261562,2757.518896,NA,NA,7015.069598,NA,2966.998456,5996.305761,NA
106,106,2,8499.272276,6394.903719,NA,NA,25072.85321,NA,11661.03569,NA,NA
107,107,2,8401.75185,9147.990915,NA,NA,NA,23104.81759,NA,NA,10605.2438
108,108,2,42809.35392,55416.61021,NA,NA,141270.8679,NA,37600.79084,NA,NA
109,109,1,28118.23977,40581.3116,NA,89978.36726,69452.05223,NA,NA,74245.71702,NA
110,110,1,2483.100973,3857.961207,NA,7573.457969,NA,NA,NA,NA,NA
111,111,1,1675.387339,698.9606509,NA,NA,NA,NA,NA,NA,NA
112,112,1,2491.211523,1369.697232,NA,NA,NA,7922.052643,NA,7191.701097,NA
113,113,1,45763.03279,74145.40399,NA,NA,NA,122644.9279,40532.16364,107519.9775,NA
114,114,1,22067.51022,27981.10809,NA,NA,NA,NA,NA,NA,NA
115,115,1,48514.14253,NA,2.8,NA,NA,156215.539,NA,NA,NA
116,116,1,7108.572493,9022.440469,NA,NA,NA,NA,NA,NA,NA
117,117,2,26301.44089,42613.67399,NA,NA,86794.75493,NA,28018.1538,NA,NA
118,118,1,9205.057702,7111.639803,4.095,NA,NA,26418.51561,NA,0,NA
119,119,2,8246.249115,7721.973794,NA,NA,NA,NA,NA,NA,NA
120,120,2,49163.81601,67159.97061,NA,NA,NA,147491.448,NA,122958.4785,46309.89337
121,121,1,6714.518481,5052.0442,NA,NA,NA,23970.83098,9045.873047,17494.09288,NA
122,122,1,29003.19357,33910.74927,3.035,NA,NA,101221.1456,NA,61768.90815,NA
123,123,1,21515.3685,16622.3348,NA,64330.95182,NA,NA,NA,0,NA
124,124,2,1610.080622,1052.327996,NA,4910.745897,NA,NA,NA,NA,NA
125,125,2,0,NA,NA,NA,NA,NA,NA,NA,NA
126,126,1,938.6506097,1537.347778,NA,NA,NA,2581.289177,1105.370364,NA,NA
127,127,3,0,NA,NA,NA,NA,NA,NA,NA,NA
128,128,1,30751.03442,20182.7861,NA,NA,75955.05501,NA,NA,NA,NA
129,129,2,27344.68059,27124.1791,3.645,96800.1693,NA,NA,NA,61267.90013,NA
130,130,1,39336.1945,24527.03242,2.77,NA,119582.0313,NA,38150.29669,116930.4408,NA
131,131,1,49863.42977,31091.00852,2.355,NA,NA,167042.4897,NA,113470.5203,NA
132,132,2,63739.32937,39742.95474,NA,NA,260693.8571,NA,62912.57874,166124.8005,NA
133,133,2,3074.733819,3252.333318,NA,NA,NA,NA,NA,NA,NA
134,134,2,0,NA,NA,NA,NA,NA,NA,NA,NA
135,135,2,4880.903117,5471.448415,NA,NA,NA,15911.74416,NA,NA,NA
136,136,1,7484.533522,9336.950662,NA,NA,NA,NA,NA,20365.65466,NA
137,137,2,0,NA,NA,NA,NA,NA,NA,NA,NA
