Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
LBXBCD	continuous	2315	TRUE	2.02699341721947	0.523390215705137	0.00111495749812243	None	None	0.00111495749812243	anemia	WTMEC4YR	0.051288044913632	0.051288044913632	heavy metals	Discovery	Anemia
DR1TMFAT	continuous	2197	TRUE	-0.0402465742221312	0.0126695806850429	0.00522394811135423	None	None	0.00522394811135423	anemia	WTDR4YR (25 observations are missing weights)	0.240301613122295	0.0653665743130068	food component recall	Discovery	Anemia
DR1TM181	continuous	2197	TRUE	-0.0421666344752938	0.0132952986251352	0.00528260645299595	None	None	0.00528260645299595	anemia	WTDR4YR (25 observations are missing weights)	0.242999896837814	0.0653665743130068	food component recall	Discovery	Anemia
DR1TTFAT	continuous	2197	TRUE	-0.0162419055124552	0.00517562294453698	0.00568404994026146	None	None	0.00568404994026146	anemia	WTDR4YR (25 observations are missing weights)	0.261466297252027	0.0653665743130068	food component recall	Discovery	Anemia
DR1TP182	continuous	2197	TRUE	-0.0602229568988684	0.0199164863902634	0.00729789843097483	None	None	0.00729789843097483	anemia	WTDR4YR (25 observations are missing weights)	0.335703327824842	0.066239591105273	food component recall	Discovery	Anemia
DR1TPFAT	continuous	2197	TRUE	-0.0532506517490342	0.0180751562475161	0.00863994666590517	None	None	0.00863994666590517	anemia	WTDR4YR (25 observations are missing weights)	0.397437546631638	0.066239591105273	food component recall	Discovery	Anemia
DR1TS160	continuous	2197	TRUE	-0.0813365695236658	0.0284061048146874	0.0103305938299977	None	None	0.0103305938299977	anemia	WTDR4YR (25 observations are missing weights)	0.475207316179893	0.0678867594542704	food component recall	Discovery	Anemia
DR1TSFAT	continuous	2197	TRUE	-0.0402041601871896	0.0148067881200127	0.0141843540755526	None	None	0.0141843540755526	anemia	WTDR4YR (25 observations are missing weights)	0.652480287475421	0.0723176109238294	food component recall	Discovery	Anemia
DR1TKCAL	continuous	2197	TRUE	-0.000626252305304796	0.000231861704655094	0.0146214044967434	None	None	0.0146214044967434	anemia	WTDR4YR (25 observations are missing weights)	0.672584606850198	0.0723176109238294	food component recall	Discovery	Anemia
DR1TFIBE	continuous	2197	TRUE	-0.0587092545733227	0.0220753633429397	0.0159652301708293	None	None	0.0159652301708293	anemia	WTDR4YR (25 observations are missing weights)	0.734400587858147	0.0723176109238294	food component recall	Discovery	Anemia
