Variable	Variable_type	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	outcome	weight	pvalue_Bonf	pvalue_FDR	Group	Set	Pheno
LBXIRN	continuous	1505	TRUE	0.00576979178524441	0.000753634379117205	4.55692241695021e-07	None	None	4.55692241695021e-07	LBXHGB	WTMEC2YR	1.91390741511909e-05	1.91390741511909e-05	nutrients	Replication	Hemoglobin
LBXVIA	continuous	2998	TRUE	0.0246130795691055	0.00474002148264249	6.13076320891305e-05	None	None	6.13076320891305e-05	LBXHGB	WTMEC2YR	0.00257492054774348	0.00128746027387174	nutrients	Replication	Hemoglobin
FOLIC_ACID_mcg	continuous	1558	TRUE	0.00554046728669588	0.000864851667394367	3.83077598722214e-06	None	None	3.83077598722214e-06	LBXIRN	WTMEC2YR	5.363086382111e-05	5.363086382111e-05	supplement use	Replication	Iron
IRON_mg	continuous	1557	TRUE	0.132361687708716	0.0300310817770007	0.000302522491241838	None	None	0.000302522491241838	LBXIRN	WTMEC2YR	0.00423531487738574	0.00148796949769198	supplement use	Replication	Iron
VITAMIN_B_12_mcg	continuous	1557	TRUE	0.252889541807061	0.0576796995184157	0.000318850606648281	None	None	0.000318850606648281	LBXIRN	WTMEC2YR	0.00446390849307593	0.00148796949769198	supplement use	Replication	Iron
RIBOFLAVIN_mg	continuous	1557	TRUE	0.388329549042799	0.0935131022776996	0.000540659952331223	None	None	0.000540659952331223	LBXIRN	WTMEC2YR	0.00756923933263712	0.00189230983315928	supplement use	Replication	Iron
LBXVIA	continuous	712	TRUE	0.849084094682591	0.213475590371198	0.000741645556319342	None	None	0.000741645556319342	LBXIRN	WTMEC2YR	0.0103830377884708	0.00207660755769416	nutrients	Replication	Iron
VITAMIN_A_IU	continuous	1557	TRUE	0.000543660229612551	0.00014239917000113	0.00116144222546048	None	None	0.00116144222546048	LBXIRN	WTMEC2YR	0.0162601911564467	0.00271003185940778	supplement use	Replication	Iron
VITAMIN_B_6_mg	continuous	1557	TRUE	0.275872526397356	0.0777725164709635	0.00215202101441252	None	None	0.00215202101441252	LBXIRN	WTMEC2YR	0.0301282942017753	0.00430404202882504	supplement use	Replication	Iron
THIAMIN_mg	continuous	1557	TRUE	0.362734097793252	0.104801892346254	0.00261603621889643	None	None	0.00261603621889643	LBXIRN	WTMEC2YR	0.03662450706455	0.00457806338306875	supplement use	Replication	Iron
LBXB12	continuous	4245	TRUE	0.000151913213002674	2.13765225872335e-05	1.2679040494433e-06	None	None	1.2679040494433e-06	logLBXRBF	WTMEC2YR	2.66259850383093e-05	2.66259850383093e-05	nutrients	Replication	Folate
LBXVID	continuous	4348	TRUE	0.00390713043222737	0.000831648118625454	0.000179211609940557	None	None	0.000179211609940557	logLBXRBF	WTMEC2YR	0.0037634438087517	0.00188172190437585	nutrients	Replication	Folate
LBXVIE	continuous	2979	TRUE	0.000113035534706671	3.05619140253824e-05	0.001643867707596	None	None	0.001643867707596	logLBXRBF	WTMEC2YR	0.0345212218595159	0.011507073953172	nutrients	Replication	Folate
LBXRBF	continuous	3999	TRUE	0.000753416118378362	0.00010452385707855	1.46393275802479e-06	None	None	1.46393275802479e-06	logLBXB12	WTMEC2YR	1.90311258543222e-05	1.90311258543222e-05	nutrients	Replication	VB12
LBXFOL	continuous	4010	TRUE	0.00592542383985271	0.000924846736298142	6.50300825138375e-06	None	None	6.50300825138375e-06	logLBXB12	WTMEC2YR	8.45391072679887e-05	4.22695536339944e-05	nutrients	Replication	VB12
DR1TVB2	continuous	4038	TRUE	0.0733106182806537	0.0135422295848038	4.65727761618601e-05	None	None	4.65727761618601e-05	logLBXB12	WTDRD1	0.000605446090104181	0.000193259779717788	food component recall	Replication	VB12
DR1TCALC	continuous	4038	TRUE	0.000129075291060528	2.43795039128453e-05	5.94645476054733e-05	None	None	5.94645476054733e-05	logLBXB12	WTDRD1	0.000773039118871153	0.000193259779717788	food component recall	Replication	VB12
LBXVIE	continuous	2827	TRUE	0.000245158968102952	4.97487703498241e-05	0.000127444761557988	None	None	0.000127444761557988	logLBXB12	WTMEC2YR	0.00165678190025384	0.000331356380050769	nutrients	Replication	VB12
LBXCBC	continuous	2713	TRUE	0.0656113082301736	0.0149503012456757	0.000400849747734556	None	None	0.000400849747734556	logLBXB12	WTMEC2YR	0.00521104672054923	0.000868507786758205	nutrients	Replication	VB12
