"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXIRN" "continuous" 5721 TRUE "-0.0527602962361531" "0.00501724540759524" "7.37128232599365e-09" "None" "None" 7.37128232599365e-09 "anemia" "WTMEC4YR" 8.10841055859302e-07 8.10841055859302e-07
"supplement_count" "continuous" 5726 TRUE "0.276249708559705" "0.0313172091571036" "9.41694809528948e-08" "None" "None" 9.41694809528948e-08 "anemia" "WTMEC4YR" 1.03586429048184e-05 5.17932145240922e-06
"LBXRBF" "continuous" 5729 TRUE "0.00470244184095209" "0.000558277584911729" "1.79678226632727e-07" "None" "None" 1.79678226632727e-07 "anemia" "WTMEC4YR" 1.97646049296e-05 6.5882016432e-06
"LBXGTC" "continuous" 5354 TRUE "-0.00300827894029458" "0.000574457294502652" "6.69787049794194e-05" "None" "None" 6.69787049794194e-05 "anemia" "WTMEC4YR" 0.00736765754773613 0.00184191438693403
"DR1TIRON" "continuous" 5520 TRUE "0.0151856115118219" "0.0055872507902975" "0.0146179342045728" "None" "None" 0.0146179342045728 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.321594552500601
"LBXVIA" "continuous" 5723 TRUE "-0.0129623820481906" "0.00528761467093831" "0.0253376903281731" "None" "None" 0.0253376903281731 "anemia" "WTMEC4YR" 1 0.44077780254768
"URXUCO" "continuous" 1795 TRUE "0.960918572048528" "0.400156812252319" "0.0280494965257615" "None" "None" 0.0280494965257615 "anemia" "WTSHM4YR" 1 0.44077780254768
"LBXFOL" "continuous" 5728 TRUE "0.0248997792702303" "0.0108867450499976" "0.0352786817977758" "None" "None" 0.0352786817977758 "anemia" "WTMEC4YR" 1 0.485081874719417
"LBXLYC" "continuous" 2966 TRUE "-0.0215463377013315" "0.00734341510818352" "0.0426389606887942" "None" "None" 0.0426389606887942 "anemia" "WTMEC4YR" 1 0.519570498187318
"URXMEP" "continuous" 1954 TRUE "0.00010956991241522" "5.18693517496171e-05" "0.0497479991714655" "None" "None" 0.0497479991714655 "anemia" "WTSPH4YR" 1 0.519570498187318
"DR1TALCO" "continuous" 5520 TRUE "-0.00510652383185582" "0.00244333688323337" "0.0519570498187318" "None" "None" 0.0519570498187318 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.519570498187318
"DR1TACAR" "continuous" 2863 TRUE "6.40539216904927e-05" "2.47735689023133e-05" "0.0609677055986436" "None" "None" 0.0609677055986436 "anemia" "WTDR4YR" 1 0.558870634654233
"DR1TM161" "continuous" 5520 TRUE "-0.15839460500377" "0.0823036173944381" "0.071193432662438" "None" "None" 0.071193432662438 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.586780428042834
"DSDCOUNT" "continuous" 5731 TRUE "0.0306876078722167" "0.0163601658120567" "0.0779697403100946" "None" "None" 0.0779697403100946 "anemia" "WTMEC4YR" 1 0.586780428042834
"LBXCBC" "continuous" 2968 TRUE "0.241010105395934" "0.103318288087116" "0.0800155129149319" "None" "None" 0.0800155129149319 "anemia" "WTMEC4YR" 1 0.586780428042834
"LBXVIE" "continuous" 5708 TRUE "0.000192829553058324" "0.000109122617663101" "0.0951588296052366" "None" "None" 0.0951588296052366 "anemia" "WTMEC4YR" 1 0.623265811741986
"DR1TVC" "continuous" 5520 TRUE "0.00123265201356541" "0.000708581374236642" "0.100000231391151" "None" "None" 0.100000231391151 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.623265811741986
"DR1TFIBE" "continuous" 5520 TRUE "0.0113939006584357" "0.0066225040357751" "0.103493706993089" "None" "None" 0.103493706993089 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.623265811741986
"DR1TM201" "continuous" 5520 TRUE "-0.514736925232071" "0.307560520906938" "0.112505750068669" "None" "None" 0.112505750068669 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.623265811741986
"LBXCRY" "continuous" 2955 TRUE "-0.0215878525651099" "0.0106798253625392" "0.113321056680361" "None" "None" 0.113321056680361 "anemia" "WTMEC4YR" 1 0.623265811741986
"DR1TFF" "continuous" 2863 TRUE "0.00110932017217607" "0.000565312294103499" "0.121232595124513" "None" "None" 0.121232595124513 "anemia" "WTDR4YR" 1 0.635027879223639
"LBXBEC" "continuous" 2969 TRUE "0.0100239636631078" "0.00527941637533196" "0.130436137394032" "None" "None" 0.130436137394032 "anemia" "WTMEC4YR" 1 0.652180686970158
"DR1TM221" "continuous" 5520 TRUE "-0.639576646253173" "0.422161582131659" "0.148143183599691" "None" "None" 0.148143183599691 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.653391602025402
"DR1TSUGR" "continuous" 2863 TRUE "0.00155701630672345" "0.00087407795843026" "0.14945345398941" "None" "None" 0.14945345398941 "anemia" "WTDR4YR" 1 0.653391602025402
"DR1TFDFE" "continuous" 2863 TRUE "0.000230671488829356" "0.000130032021923096" "0.150742038726505" "None" "None" 0.150742038726505 "anemia" "WTDR4YR" 1 0.653391602025402
"URXDMA" "continuous" 1852 TRUE "-0.000427653417213411" "0.000291811458809347" "0.161032381599908" "None" "None" 0.161032381599908 "anemia" "WTSPH4YR" 1 0.653391602025402
"quantity_drink_per_day" "continuous" 2693 TRUE "-0.0774699118521955" "0.0541573175991679" "0.170708890496408" "None" "None" 0.170708890496408 "anemia" "WTMEC4YR" 1 0.653391602025402
"LBXB12" "continuous" 5731 TRUE "-1.1299542665311e-05" "7.9274853217824e-06" "0.17215500261651" "None" "None" 0.17215500261651 "anemia" "WTMEC4YR" 1 0.653391602025402
"LBXTHG" "continuous" 1393 TRUE "-0.045009217183826" "0.0319757638106643" "0.176283511967711" "None" "None" 0.176283511967711 "anemia" "WTMEC4YR" 1 0.653391602025402
"URXGNS" "continuous" 1960 TRUE "0.000244938468199797" "0.000174404056476068" "0.178197709643291" "None" "None" 0.178197709643291 "anemia" "WTSPH4YR" 1 0.653391602025402
"URXMNP" "continuous" 1955 TRUE "0.0115270163248914" "0.00848753137277634" "0.192180845934317" "None" "None" 0.192180845934317 "anemia" "WTSPH4YR" 1 0.663641121046653
"DR1TS180" "continuous" 5520 TRUE "-0.0288240185659192" "0.021569778413125" "0.199058851219257" "None" "None" 0.199058851219257 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.663641121046653
"DR1TMAGN" "continuous" 5520 TRUE "0.000752026966424644" "0.000562805814990086" "0.199092336313996" "None" "None" 0.199092336313996 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.663641121046653
"URXUCS" "continuous" 1794 TRUE "-0.0393499711059999" "0.0303869724491292" "0.212645179463843" "None" "None" 0.212645179463843 "anemia" "WTSHM4YR" 1 0.673653798539392
"DR1TATOC" "continuous" 2863 TRUE "0.0191667849245917" "0.0129981688212366" "0.214344390444352" "None" "None" 0.214344390444352 "anemia" "WTDR4YR" 1 0.673653798539392
"DR1TVB12" "continuous" 5520 TRUE "0.00670219542992704" "0.00529348931299446" "0.222545652910426" "None" "None" 0.222545652910426 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.680000606115191
"DR1TVARA" "continuous" 2863 TRUE "6.35639331049416e-05" "4.56689526400781e-05" "0.236369442615366" "None" "None" 0.236369442615366 "anemia" "WTDR4YR" 1 0.702719964532171
"URXDAZ" "continuous" 1959 TRUE "8.34533387512579e-05" "6.93136704471338e-05" "0.245088407256311" "None" "None" 0.245088407256311 "anemia" "WTSPH4YR" 1 0.709466442057742
"LBXIHG" "continuous" 1381 TRUE "-0.166690955234258" "0.141832380814554" "0.255200410930241" "None" "None" 0.255200410930241 "anemia" "WTMEC4YR" 1 0.719796030828885
"age_stopped_birth_control" "continuous" 914 TRUE "0.0250071984881414" "0.0223917368171313" "0.27876423852524" "None" "None" 0.27876423852524 "anemia" "WTMEC4YR" 1 0.766601655944411
"URXUTU" "continuous" 1744 TRUE "0.257078852227325" "0.235595885370286" "0.290415865313356" "None" "None" 0.290415865313356 "anemia" "WTSHM4YR" 1 0.771132588481581
"DR1TS160" "continuous" 5520 TRUE "-0.0109007666922872" "0.0100761562564512" "0.294432442874785" "None" "None" 0.294432442874785 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.771132588481581
"LBXBCD" "continuous" 5726 TRUE "-0.241501641206496" "0.230822939158195" "0.310088509397125" "None" "None" 0.310088509397125 "anemia" "WTMEC4YR" 1 0.777185580442107
"total_days_drink_year" "continuous" 2696 TRUE "-0.00092846895214488" "0.000897644190735539" "0.315468134286207" "None" "None" 0.315468134286207 "anemia" "WTMEC4YR" 1 0.777185580442107
"URXMHP" "continuous" 1955 TRUE "0.00147448321264624" "0.00151857362913398" "0.345178569961426" "None" "None" 0.345178569961426 "anemia" "WTSPH4YR" 1 0.777185580442107
"DR1TRET" "continuous" 2863 TRUE "5.98874647285434e-05" "5.61571468215933e-05" "0.346320684569232" "None" "None" 0.346320684569232 "anemia" "WTDR4YR" 1 0.777185580442107
"DR1TSFAT" "continuous" 5520 TRUE "-0.00528868288362663" "0.00550915529067197" "0.350520715291759" "None" "None" 0.350520715291759 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.777185580442107
"DR1TMFAT" "continuous" 5520 TRUE "-0.00423051229122624" "0.00441236593001707" "0.351105409646655" "None" "None" 0.351105409646655 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.777185580442107
"URXUHG" "continuous" 1376 TRUE "0.0307395484997087" "0.0324137187112166" "0.355510869881297" "None" "None" 0.355510869881297 "anemia" "WTMEC4YR" 1 0.777185580442107
"URXEQU" "continuous" 1824 TRUE "-0.00141601858736218" "0.00152849307114296" "0.367196469372171" "None" "None" 0.367196469372171 "anemia" "WTSPH4YR" 1 0.777185580442107
"URXMCP" "continuous" 1955 TRUE "0.0235699872387906" "0.0255408430203531" "0.36900620527681" "None" "None" 0.36900620527681 "anemia" "WTSPH4YR" 1 0.777185580442107
"LBXLUZ" "continuous" 2966 TRUE "-0.0128448105942974" "0.012761280247076" "0.371099961632221" "None" "None" 0.371099961632221 "anemia" "WTMEC4YR" 1 0.777185580442107
"LBXRST" "continuous" 4499 TRUE "0.178232623439521" "0.198280542510061" "0.381266559313825" "None" "None" 0.381266559313825 "anemia" "WTMEC4YR" 1 0.777185580442107
"DR1TM181" "continuous" 5520 TRUE "-0.00415597995302905" "0.00467733436290762" "0.386652400375104" "None" "None" 0.386652400375104 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.777185580442107
"DR1TCARB" "continuous" 5520 TRUE "0.000428291949700941" "0.000484039321792111" "0.388592790221053" "None" "None" 0.388592790221053 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.777185580442107
"DRD340" "categorical" 3356 TRUE "None" "None" "None" "0.423966074479671" "None" 0.423966074479671 "anemia" "WTDR4YR (16 observations are missing weights)" 1 0.81780242712657
"DR1TCRYP" "continuous" 2863 TRUE "0.000332638145596782" "0.000378833885062531" "0.429490423348044" "None" "None" 0.429490423348044 "anemia" "WTDR4YR" 1 0.81780242712657
"DR1TPROT" "continuous" 5520 TRUE "-0.00108813833346853" "0.00134954360709046" "0.431204916121282" "None" "None" 0.431204916121282 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.81780242712657
"DR1TSELE" "continuous" 5520 TRUE "0.000735214589589361" "0.000960686897648081" "0.454586692563184" "None" "None" 0.454586692563184 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.839025696926238
"DR1TLZ" "continuous" 2863 TRUE "-1.80497247125581e-05" "2.19793842419449e-05" "0.457650380141584" "None" "None" 0.457650380141584 "anemia" "WTDR4YR" 1 0.839025696926238
"URXMZP" "continuous" 1955 TRUE "0.00108482924369193" "0.00148546087678421" "0.47515265670019" "None" "None" 0.47515265670019 "anemia" "WTSPH4YR" 1 0.84294520164916
"DR1TP184" "continuous" 5520 TRUE "-1.59881736182601" "2.2001797469986" "0.477312338309344" "None" "None" 0.477312338309344 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.84294520164916
"DR1TTFAT" "continuous" 5520 TRUE "-0.00119797787203424" "0.00169643206391247" "0.489645122159409" "None" "None" 0.489645122159409 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.84294520164916
"LBXHA" "categorical" 5731 TRUE "None" "None" "None" "0.490440844595875" "None" 0.490440844595875 "anemia" "WTMEC4YR" 1 0.84294520164916
"DR1TCOPP" "continuous" 5520 TRUE "0.0170279610838466" "0.0269602712197447" "0.536053187349331" "None" "None" 0.536053187349331 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.895227290803551
"URXMBP" "continuous" 1955 TRUE "-0.000428257465939593" "0.00067988379363315" "0.537136374482131" "None" "None" 0.537136374482131 "anemia" "WTSPH4YR" 1 0.895227290803551
"DR1TFA" "continuous" 2863 TRUE "0.00019472504740717" "0.000296959527106439" "0.547799058972274" "None" "None" 0.547799058972274 "anemia" "WTDR4YR" 1 0.899371589357465
"URXETD" "continuous" 1949 TRUE "-0.000131478504643368" "0.00023180915844149" "0.578002474939561" "None" "None" 0.578002474939561 "anemia" "WTSPH4YR" 1 0.908042091031765
"DR1TCALC" "continuous" 5520 TRUE "7.86012106141768e-05" "0.000141307692219492" "0.585293694294795" "None" "None" 0.585293694294795 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
"URXETL" "continuous" 1958 TRUE "5.24758772436684e-05" "9.62070417804009e-05" "0.592531324345083" "None" "None" 0.592531324345083 "anemia" "WTSPH4YR" 1 0.908042091031765
"LBXBPB" "continuous" 5726 TRUE "-0.0293600620861093" "0.0556085284259737" "0.604338934015403" "None" "None" 0.604338934015403 "anemia" "WTMEC4YR" 1 0.908042091031765
"SMQ020" "categorical" 4197 TRUE "None" "None" "None" "0.605921728740288" "None" 0.605921728740288 "anemia" "WTMEC4YR" 1 0.908042091031765
"URXUMO" "continuous" 1714 TRUE "-0.000730812878667901" "0.00142056967038056" "0.613560240033779" "None" "None" 0.613560240033779 "anemia" "WTSHM4YR" 1 0.908042091031765
"DR1TLYCO" "continuous" 2863 TRUE "-5.07852898621123e-06" "9.60575353493661e-06" "0.624992159274215" "None" "None" 0.624992159274215 "anemia" "WTDR4YR" 1 0.908042091031765
"DR1TPOTA" "continuous" 5520 TRUE "2.97838174271798e-05" "6.040907128784e-05" "0.628295486103708" "None" "None" 0.628295486103708 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
"DR1TP225" "continuous" 5520 TRUE "-0.874520515386809" "1.78837699002803" "0.631089061114772" "None" "None" 0.631089061114772 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
"DR1TP204" "continuous" 5520 TRUE "-0.220785142642335" "0.49500835307293" "0.661209199197617" "None" "None" 0.661209199197617 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
"DR1TVK" "continuous" 2863 TRUE "-0.00023705753902186" "0.000526511032091132" "0.675859761942915" "None" "None" 0.675859761942915 "anemia" "WTDR4YR" 1 0.908042091031765
"DR1TS060" "continuous" 5520 TRUE "0.115085646919773" "0.274853514376945" "0.680665875558365" "None" "None" 0.680665875558365 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
"URXUSB" "continuous" 1727 TRUE "0.127657437661094" "0.306996856380225" "0.682738836894751" "None" "None" 0.682738836894751 "anemia" "WTSHM4YR" 1 0.908042091031765
"DR1TZINC" "continuous" 5520 TRUE "0.00234249453390842" "0.00581551811622326" "0.692115092601128" "None" "None" 0.692115092601128 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.908042091031765
