"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXBCD" "continuous" 2315 TRUE 2.02699341721947 0.523390215705137 0.00111495749812243 "None" "None" 0.00111495749812243 "anemia" "WTMEC4YR" 0.051288044913632 0.051288044913632
"DR1TMFAT" "continuous" 2197 TRUE -0.0402465742221312 0.0126695806850429 0.00522394811135423 "None" "None" 0.00522394811135423 "anemia" "WTDR4YR (25 observations are missing weights)" 0.240301613122295 0.0653665743130068
"DR1TM181" "continuous" 2197 TRUE -0.0421666344752938 0.0132952986251352 0.00528260645299595 "None" "None" 0.00528260645299595 "anemia" "WTDR4YR (25 observations are missing weights)" 0.242999896837814 0.0653665743130068
"DR1TTFAT" "continuous" 2197 TRUE -0.0162419055124552 0.00517562294453698 0.00568404994026146 "None" "None" 0.00568404994026146 "anemia" "WTDR4YR (25 observations are missing weights)" 0.261466297252027 0.0653665743130068
"DR1TP182" "continuous" 2197 TRUE -0.0602229568988684 0.0199164863902634 0.00729789843097483 "None" "None" 0.00729789843097483 "anemia" "WTDR4YR (25 observations are missing weights)" 0.335703327824842 0.066239591105273
"DR1TPFAT" "continuous" 2197 TRUE -0.0532506517490342 0.0180751562475161 0.00863994666590517 "None" "None" 0.00863994666590517 "anemia" "WTDR4YR (25 observations are missing weights)" 0.397437546631638 0.066239591105273
"DR1TS160" "continuous" 2197 TRUE -0.0813365695236658 0.0284061048146874 0.0103305938299977 "None" "None" 0.0103305938299977 "anemia" "WTDR4YR (25 observations are missing weights)" 0.475207316179893 0.0678867594542704
"DR1TSFAT" "continuous" 2197 TRUE -0.0402041601871896 0.0148067881200127 0.0141843540755526 "None" "None" 0.0141843540755526 "anemia" "WTDR4YR (25 observations are missing weights)" 0.652480287475421 0.0723176109238294
"DR1TKCAL" "continuous" 2197 TRUE -0.000626252305304796 0.000231861704655094 0.0146214044967434 "None" "None" 0.0146214044967434 "anemia" "WTDR4YR (25 observations are missing weights)" 0.672584606850198 0.0723176109238294
"DR1TFIBE" "continuous" 2197 TRUE -0.0587092545733227 0.0220753633429397 0.0159652301708293 "None" "None" 0.0159652301708293 "anemia" "WTDR4YR (25 observations are missing weights)" 0.734400587858147 0.0723176109238294
"DR1TS180" "continuous" 2197 TRUE -0.143224293530544 0.0550231633603236 0.0179862473067309 "None" "None" 0.0179862473067309 "anemia" "WTDR4YR (25 observations are missing weights)" 0.827367376109621 0.0723176109238294
"DR1TCAFF" "continuous" 2197 TRUE -0.0113456233877704 0.00439708488961666 0.0188654637192599 "None" "None" 0.0188654637192599 "anemia" "WTDR4YR (25 observations are missing weights)" 0.867811331085953 0.0723176109238294
"DR1TPHOS" "continuous" 2197 TRUE -0.000778298519745611 0.000345831996381273 0.0371570681727512 "None" "None" 0.0371570681727512 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.125044566381912
"DR1TS140" "continuous" 2197 TRUE -0.264732856854965 0.118508652831858 0.0384185042763801 "None" "None" 0.0384185042763801 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.125044566381912
"DR1TVB12" "continuous" 2197 TRUE -0.121283231544086 0.0554925011789235 0.0423056761698415 "None" "None" 0.0423056761698415 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.125044566381912
"DR1TM161" "continuous" 2197 TRUE -0.483834199023018 0.225817979234995 0.0460666422474069 "None" "None" 0.0460666422474069 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.125044566381912
"DR1TCOPP" "continuous" 2197 TRUE -0.87342173720473 0.407952807847301 0.0462121223585326 "None" "None" 0.0462121223585326 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.125044566381912
"DR1TZINC" "continuous" 2197 TRUE -0.0575987341760106 0.0276511962454175 0.0517793520495747 "None" "None" 0.0517793520495747 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.132325010793358
"DR1TP183" "continuous" 2197 TRUE -0.463629653604979 0.232163457059018 0.0611736032807823 "None" "None" 0.0611736032807823 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.148104513206105
"DR1TS040" "continuous" 2197 TRUE -0.778890172613044 0.397545616420378 0.0657582969712318 "None" "None" 0.0657582969712318 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.150728810052472
"DR1TIRON" "continuous" 2197 TRUE -0.0320563448230849 0.0165631874411302 0.0688109785022156 "None" "None" 0.0688109785022156 "anemia" "WTDR4YR (25 observations are missing weights)" 1 0.150728810052472
