"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXVIA" "continuous" 9965 TRUE 0.0586335634796144 0.00594201527925998 7.32260881684868e-23 "None" "None" 7.32260881684868e-23 "anemia" "WTMEC8YR" 4.10066093743526e-21 4.10066093743526e-21
"LBXRBF" "continuous" 10018 TRUE 0.00580882496119288 0.000706883414129668 2.33508875630082e-16 "None" "None" 2.33508875630082e-16 "anemia" "WTMEC8YR" 1.30764970352846e-14 6.53824851764229e-15
"supplement_count" "continuous" 10010 TRUE 0.214924148339419 0.0444281607539079 1.33402767055102e-06 "None" "None" 1.33402767055102e-06 "anemia" "WTMEC8YR" 7.47055495508572e-05 2.49018498502857e-05
"LBXGTC" "continuous" 9609 TRUE -0.00260552405170172 0.000897344589412593 0.00369747961748239 "None" "None" 0.00369747961748239 "anemia" "WTMEC8YR" 0.207058858579014 0.0517647146447535
"DR1TPOTA" "continuous" 6462 TRUE -0.000338382811962118 0.000142227372824726 0.0173807149367916 "None" "None" 0.0173807149367916 "anemia" "WTDR8YR (3151 observations are missing weights)" 0.973320036460328 0.185707063739293
"LBXRPL" "continuous" 9255 TRUE 0.12901506455118 0.0554025242026092 0.0198971854006385 "None" "None" 0.0198971854006385 "anemia" "WTMEC8YR" 1 0.185707063739293
"DR1TMAGN" "continuous" 6462 TRUE -0.0027853068938749 0.00127866255136836 0.0294200543772674 "None" "None" 0.0294200543772674 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.224119828733999
"DR1TPHOS" "continuous" 6462 TRUE -0.000576253661692061 0.000272045175770909 0.0341939509739582 "None" "None" 0.0341939509739582 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.224119828733999
"DR1TVB1" "continuous" 6462 TRUE -0.400125292511511 0.190794880733691 0.0360192581893926 "None" "None" 0.0360192581893926 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.224119828733999
"LBXFOL" "continuous" 10013 TRUE 0.00804093534579342 0.00404300900336279 0.0467450635667131 "None" "None" 0.0467450635667131 "anemia" "WTMEC8YR" 1 0.245381681696383
"DR1TVB2" "continuous" 6462 TRUE -0.302464118849055 0.153070670276527 0.0481999731903609 "None" "None" 0.0481999731903609 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.245381681696383
"DR1TP182" "continuous" 6462 TRUE -0.0268401802713894 0.0143521001700471 0.061512161469966 "None" "None" 0.061512161469966 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.272884247215099
"DR1TVB6" "continuous" 6462 TRUE -0.316148912363806 0.172494175449149 0.0668770624288803 "None" "None" 0.0668770624288803 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.272884247215099
"DR1TTFAT" "continuous" 6462 TRUE -0.00715475204571952 0.00392288424902441 0.0682210618037748 "None" "None" 0.0682210618037748 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.272884247215099
"DR1TPFAT" "continuous" 6462 TRUE -0.0233092538215716 0.013123760711452 0.0757618235868773 "None" "None" 0.0757618235868773 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.277762186081854
"LBXVIE" "continuous" 9953 TRUE 0.000224778466267648 0.000130852474735045 0.0858641403270546 "None" "None" 0.0858641403270546 "anemia" "WTMEC8YR" 1 0.277762186081854
"DR1TPROT" "continuous" 6462 TRUE -0.00737852608485304 0.00431959775938195 0.0876564528306674 "None" "None" 0.0876564528306674 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.277762186081854
"DR1TKCAL" "continuous" 6462 TRUE -0.000334177442339505 0.000196637362129682 0.0892807026691674 "None" "None" 0.0892807026691674 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.277762186081854
"DSDCOUNT" "continuous" 10018 TRUE 0.0259650503142526 0.015642303101762 0.0969608883628261 "None" "None" 0.0969608883628261 "anemia" "WTMEC8YR" 1 0.285779460437803
"DR1TM181" "continuous" 6462 TRUE -0.0172552397113591 0.0108106423534643 0.110507793067916 "None" "None" 0.110507793067916 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.301148014365076
"DR1TCALC" "continuous" 6462 TRUE -0.00060498131652068 0.000382221709621324 0.113515656740819 "None" "None" 0.113515656740819 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.301148014365076
"DR1TMFAT" "continuous" 6462 TRUE -0.0158500896384858 0.0101465062831494 0.118308148500565 "None" "None" 0.118308148500565 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.301148014365076
"DR1TM201" "continuous" 6462 TRUE -1.27673323665997 0.836687825956439 0.127074534290853 "None" "None" 0.127074534290853 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.309398866099467
"DR1TIRON" "continuous" 6462 TRUE -0.0269461299101328 0.0182826471793528 0.140567141349616 "None" "None" 0.140567141349616 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.327989996482437
"DR1TSFAT" "continuous" 6462 TRUE -0.0165199853721578 0.0115935817299313 0.15422728791447 "None" "None" 0.15422728791447 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.342526897786537
"DR1TP184" "continuous" 6462 TRUE -5.89551210305746 4.27283971385364 0.167707070180299 "None" "None" 0.167707070180299 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.342526897786537
"DR1TNIAC" "continuous" 6462 TRUE -0.0207777599243097 0.0151113874366599 0.16918740908126 "None" "None" 0.16918740908126 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.342526897786537
"DR1TS160" "continuous" 6462 TRUE -0.0288382620452624 0.0210758585546686 0.171263448893269 "None" "None" 0.171263448893269 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.342526897786537
"DR1TS120" "continuous" 6462 TRUE -0.228331816662583 0.177995373502478 0.199609568209815 "None" "None" 0.199609568209815 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TZINC" "continuous" 6462 TRUE -0.0314131711995159 0.0247279727512762 0.204005978402981 "None" "None" 0.204005978402981 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TVC" "continuous" 6462 TRUE -0.00188824247823911 0.0015083588804131 0.210669139010557 "None" "None" 0.210669139010557 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TCARB" "continuous" 6462 TRUE -0.0018869066049721 0.00151192145999939 0.212069469834063 "None" "None" 0.212069469834063 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TS080" "continuous" 6462 TRUE -0.933074476631 0.756977278892845 0.217758031199128 "None" "None" 0.217758031199128 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TS060" "continuous" 6462 TRUE -0.763489076533768 0.631761667929096 0.226896236153435 "None" "None" 0.226896236153435 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TP183" "continuous" 6462 TRUE -0.165588397240313 0.139795324234869 0.236256516895796 "None" "None" 0.236256516895796 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TFIBE" "continuous" 6462 TRUE -0.0223628233420284 0.0192581869181837 0.245599011865034 "None" "None" 0.245599011865034 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"LBXB12" "continuous" 10019 TRUE 1.14086151974005e-05 9.88984065636798e-06 0.248704412094446 "None" "None" 0.248704412094446 "anemia" "WTMEC8YR" 1 0.368331432805941
"DR1TS100" "continuous" 6462 TRUE -0.557166946197385 0.484240001320071 0.249939186546889 "None" "None" 0.249939186546889 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.368331432805941
"DR1TS180" "continuous" 6462 TRUE -0.0503136524010709 0.0445357185136534 0.258629079831982 "None" "None" 0.258629079831982 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.371364832579256
"DR1TS140" "continuous" 6462 TRUE -0.134235729242936 0.121806924621464 0.270486774773537 "None" "None" 0.270486774773537 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.378681484682951
"DR1TCAFF" "continuous" 6462 TRUE -0.00118762335627394 0.00116363701475266 0.307476023123249 "None" "None" 0.307476023123249 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.412943308088449
"DR1TS040" "continuous" 6462 TRUE -0.402822336604342 0.396511420066801 0.309707481066337 "None" "None" 0.309707481066337 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.412943308088449
"LBXBPB" "continuous" 10010 TRUE 0.0510108528854931 0.0531531467201291 0.337231545063441 "None" "None" 0.337231545063441 "anemia" "WTMEC8YR" 1 0.439185267989598
"LBXBCD" "continuous" 10010 TRUE -0.243771573075418 0.271854467584778 0.369901265567539 "None" "None" 0.369901265567539 "anemia" "WTMEC8YR" 1 0.470783428904141
"DR1TP204" "continuous" 6462 TRUE 0.787457799105146 0.953475284658319 0.408901771217287 "None" "None" 0.408901771217287 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.508855537514846
"number_close_friends" "continuous" 2996 TRUE -0.00978452598644574 0.0142389851676402 0.4920325241726 "None" "None" 0.4920325241726 "anemia" "WTMEC8YR" 1 0.598996116384034
"DR1TVB12" "continuous" 6462 TRUE -0.0209996057889951 0.0325609474085201 0.518994036007215 "None" "None" 0.518994036007215 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.618375872689448
"DR1TP225" "continuous" 6462 TRUE -1.02942727779884 2.16652717201892 0.634695543804973 "None" "None" 0.634695543804973 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.740478134439135
"DR1TCOPP" "continuous" 6462 TRUE -0.0924254331747839 0.202389739206281 0.647923254874388 "None" "None" 0.647923254874388 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.740483719856443
"DR1TSELE" "continuous" 6462 TRUE 0.000965649857105056 0.0028877641440938 0.738093448280851 "None" "None" 0.738093448280851 "anemia" "WTDR8YR (3151 observations are missing weights)" 1 0.826664662074553
