"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXIRN" "continuous" 2046 TRUE -0.167009087509852 0.0204672328222116 2.78523431263259e-07 "None" "None" 2.78523431263259e-07 "anemia" "WTMEC4YR" 1.58758355820058e-05 1.58758355820058e-05
"LBXRBF" "continuous" 2047 TRUE 0.00661451255427414 0.00110028583665622 1.40148520952779e-05 "None" "None" 1.40148520952779e-05 "anemia" "WTMEC4YR" 0.000798846569430838 0.000399423284715419
"LBXVIA" "continuous" 2045 TRUE -0.0628914656588071 0.0173807162910096 0.00212213597229522 "None" "None" 0.00212213597229522 "anemia" "WTMEC4YR" 0.120961750420827 0.0389344189331869
"DR1TVB12" "continuous" 1983 TRUE 0.0426856541701736 0.012188975754802 0.00273223992513592 "None" "None" 0.00273223992513592 "anemia" "WTDR4YR" 0.155737675732747 0.0389344189331869
"DR1TFIBE" "continuous" 1983 TRUE 0.0204759246013417 0.00780845764321876 0.0178380899340171 "None" "None" 0.0178380899340171 "anemia" "WTDR4YR" 1 0.203354225247795
"LBXBCD" "continuous" 2047 TRUE 0.316862930629573 0.136083386240408 0.0324851063405283 "None" "None" 0.0324851063405283 "anemia" "WTMEC4YR" 1 0.308608510235019
"LBXGTC" "continuous" 1900 TRUE -0.00166964151950685 0.000868876798456262 0.0715821242495823 "None" "None" 0.0715821242495823 "anemia" "WTMEC4YR" 1 0.582883011746599
"DR1TCARB" "continuous" 1983 TRUE 0.0015693055226 0.000889843561770183 0.0957665349367744 "None" "None" 0.0957665349367744 "anemia" "WTDR4YR" 1 0.682336561424518
"DR1TMAGN" "continuous" 1983 TRUE 0.00102340456079214 0.000644463544167062 0.130711563002466 "None" "None" 0.130711563002466 "anemia" "WTDR4YR" 1 0.784324248902654
"LBXTHG" "continuous" 1243 TRUE -0.102995325979057 0.0663708553017553 0.139123131328099 "None" "None" 0.139123131328099 "anemia" "WTMEC4YR" 1 0.784324248902654
"DR1TKCAL" "continuous" 1983 TRUE 0.00016193705765149 0.000110939096507615 0.162606959550192 "None" "None" 0.162606959550192 "anemia" "WTDR4YR" 1 0.784324248902654
"LBXFOL" "continuous" 2044 TRUE 0.0109430346869884 0.00754433244889857 0.165120894505822 "None" "None" 0.165120894505822 "anemia" "WTMEC4YR" 1 0.784324248902654
