"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"VITAMIN_A_IU" "continuous" 4235 TRUE "6.27036280878354e-06" "3.56362924472851e-07" "8.68270543630821e-13" "None" "None" 8.68270543630821e-13 "LBXIRN" "WTMEC4YR" 1.12006900128376e-10 1.12006900128376e-10
"IRON_mg" "continuous" 4250 TRUE "0.00177645686665696" "0.000125661494588847" "3.46013901644323e-11" "None" "None" 3.46013901644323e-11 "LBXIRN" "WTMEC4YR" 4.46357933121177e-09 1.83473694994835e-09
"FOLIC_ACID_mcg" "continuous" 4238 TRUE "8.12153839763983e-05" "5.81806295909297e-06" "4.26683011615896e-11" "None" "None" 4.26683011615896e-11 "LBXIRN" "WTMEC4YR" 5.50421084984506e-09 1.83473694994835e-09
"VITAMIN_B_12_mcg" "continuous" 4236 TRUE "0.00540292452929826" "0.00056667276782156" "1.85045355823556e-08" "None" "None" 1.85045355823556e-08 "LBXIRN" "WTMEC4YR" 2.38708509012387e-06 5.96771272530967e-07
"CALCIUM_mg" "continuous" 4243 TRUE "0.000299480275577379" "3.26046696957368e-05" "3.24879606476387e-08" "None" "None" 3.24879606476387e-08 "LBXIRN" "WTMEC4YR" 4.1909469235454e-06 8.38189384709079e-07
"LBXVIA" "continuous" 3909 TRUE "0.999572696129905" "0.1215550696644" "1.65245413995902e-07" "None" "None" 1.65245413995902e-07 "LBXIRN" "WTMEC4YR" 2.13166584054714e-05 3.5527764009119e-06
"RIBOFLAVIN_mg" "continuous" 4236 TRUE "0.018156563343229" "0.00295983969772868" "8.56984507544147e-06" "None" "None" 8.56984507544147e-06 "LBXIRN" "WTMEC4YR" 0.00110551001473195 0.000157930002104564
"LBXGTC" "continuous" 3617 TRUE "-0.0504622632581775" "0.00839289259098171" "1.09852373551157e-05" "None" "None" 1.09852373551157e-05 "LBXIRN" "WTMEC4YR" 0.00141709561880992 0.00017713695235124
"VITAMIN_B_6_mg" "continuous" 4235 TRUE "0.0161107526090605" "0.0036837274087651" "0.000366330503661934" "None" "None" 0.000366330503661934 "LBXIRN" "WTMEC4YR" 0.0472566349723895 0.00525073721915439
"THIAMIN_mg" "continuous" 4235 TRUE "0.0215731010748879" "0.0052950763056553" "0.000711972405049388" "None" "None" 0.000711972405049388 "LBXIRN" "WTMEC4YR" 0.0918444402513711 0.00908123927378558
"URXMCP" "continuous" 1089 TRUE "0.227094686993041" "0.0566358554119688" "0.000821819744340091" "None" "None" 0.000821819744340091 "LBXIRN" "WTSPH4YR" 0.106014747019872 0.00908123927378558
"VITAMIN_C_mg" "continuous" 4227 TRUE "0.000692868769514757" "0.000173331233821134" "0.000844766444073077" "None" "None" 0.000844766444073077 "LBXIRN" "WTMEC4YR" 0.108974871285427 0.00908123927378558
"LBXCOT" "continuous" 3833 TRUE "0.193514766963083" "0.0604240425310117" "0.00493407504081937" "None" "None" 0.00493407504081937 "LBXIRN" "WTMEC4YR" 0.636495680265698 0.0489612061742845
