"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"VITAMIN_A_IU" "continuous" 4239 TRUE "6.27697603001845e-06" "3.56260990509438e-07" "8.48642163694819e-13" "None" "None" 8.48642163694819e-13 "LBXIRN_SIR" "WTMEC4YR" 1.09474839116632e-10 1.09474839116632e-10
"IRON_mg" "continuous" 4254 TRUE "0.00177834545761847" "0.000125690728555567" "3.41283040205087e-11" "None" "None" 3.41283040205087e-11 "LBXIRN_SIR" "WTMEC4YR" 4.40255121864562e-09 1.80310914046052e-09
"FOLIC_ACID_mcg" "continuous" 4242 TRUE "8.1297325903266e-05" "5.81781899100183e-06" "4.19327707083841e-11" "None" "None" 4.19327707083841e-11 "LBXIRN_SIR" "WTMEC4YR" 5.40932742138155e-09 1.80310914046052e-09
"VITAMIN_B_12_mcg" "continuous" 4240 TRUE "0.00540910403006218" "0.000566960133320769" "1.83268007531478e-08" "None" "None" 1.83268007531478e-08 "LBXIRN_SIR" "WTMEC4YR" 2.36415729715607e-06 5.91039324289018e-07
"CALCIUM_mg" "continuous" 4247 TRUE "0.000299802288484144" "3.26158635842165e-05" "3.21336668906341e-08" "None" "None" 3.21336668906341e-08 "LBXIRN_SIR" "WTMEC4YR" 4.1452430288918e-06 8.29048605778359e-07
"LBXVIA" "continuous" 3913 TRUE "0.999585448261654" "0.121462124671944" "1.63404811243792e-07" "None" "None" 1.63404811243792e-07 "LBXIRN_SIR" "WTMEC4YR" 2.10792206504492e-05 3.51320344174153e-06
"RIBOFLAVIN_mg" "continuous" 4240 TRUE "0.0181772301936542" "0.00295965891128776" "8.44279465441309e-06" "None" "None" 8.44279465441309e-06 "LBXIRN_SIR" "WTMEC4YR" 0.00108912051041929 0.000155588644345613
"LBXGTC" "continuous" 3621 TRUE "-0.0504491491097417" "0.00839540187157661" "1.10610198778046e-05" "None" "None" 1.10610198778046e-05 "LBXIRN_SIR" "WTMEC4YR" 0.00142687156423679 0.000178358945529599
"VITAMIN_B_6_mg" "continuous" 4239 TRUE "0.0161289638439122" "0.00368390376556701" "0.000362512500416298" "None" "None" 0.000362512500416298 "LBXIRN_SIR" "WTMEC4YR" 0.0467641125537024 0.00519601250596694
"THIAMIN_mg" "continuous" 4239 TRUE "0.0215989874307106" "0.00529621153145979" "0.000705639889073291" "None" "None" 0.000705639889073291 "LBXIRN_SIR" "WTMEC4YR" 0.0910275456904545 0.00904329177985386
"URXMCP" "continuous" 1089 TRUE "0.227094686993041" "0.0566358554119688" "0.000821819744340091" "None" "None" 0.000821819744340091 "LBXIRN_SIR" "WTSPH4YR" 0.106014747019872 0.00904329177985386
"VITAMIN_C_mg" "continuous" 4231 TRUE "0.000693469156897378" "0.000173399873411119" "0.000841236444637568" "None" "None" 0.000841236444637568 "LBXIRN_SIR" "WTMEC4YR" 0.108519501358246 0.00904329177985386
"LBXCOT" "continuous" 3837 TRUE "0.193582395861962" "0.0604316205253089" "0.00492629776190082" "None" "None" 0.00492629776190082 "LBXIRN_SIR" "WTMEC4YR" 0.635492411285206 0.0488840316373235
"DR1TP184" "continuous" 4052 TRUE "85.1198338732678" "29.3563980248812" "0.00955503464150425" "None" "None" 0.00955503464150425 "LBXIRN_SIR" "WTDR4YR (53 observations are missing weights)" 1 0.0880428191967177
"URXUPT" "continuous" 1032 TRUE "-71.9604565497306" "26.4652784580247" "0.0140701723593153" "None" "None" 0.0140701723593153 "LBXIRN_SIR" "WTSHM4YR" 1 0.121003482290111
