"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"FOLIC_ACID_mcg" "continuous" 1558 TRUE 0.00554046728669588 0.000864851667394367 3.83077598722214e-06 "None" "None" 3.83077598722214e-06 "LBXIRN" "WTMEC2YR" 5.363086382111e-05 5.363086382111e-05
"IRON_mg" "continuous" 1557 TRUE 0.132361687708716 0.0300310817770007 0.000302522491241838 "None" "None" 0.000302522491241838 "LBXIRN" "WTMEC2YR" 0.00423531487738574 0.00148796949769198
"VITAMIN_B_12_mcg" "continuous" 1557 TRUE 0.252889541807061 0.0576796995184157 0.000318850606648281 "None" "None" 0.000318850606648281 "LBXIRN" "WTMEC2YR" 0.00446390849307593 0.00148796949769198
"RIBOFLAVIN_mg" "continuous" 1557 TRUE 0.388329549042799 0.0935131022776996 0.000540659952331223 "None" "None" 0.000540659952331223 "LBXIRN" "WTMEC2YR" 0.00756923933263712 0.00189230983315928
"LBXVIA" "continuous" 712 TRUE 0.849084094682591 0.213475590371198 0.000741645556319342 "None" "None" 0.000741645556319342 "LBXIRN" "WTMEC2YR" 0.0103830377884708 0.00207660755769416
"VITAMIN_A_IU" "continuous" 1557 TRUE 0.000543660229612551 0.00014239917000113 0.00116144222546048 "None" "None" 0.00116144222546048 "LBXIRN" "WTMEC2YR" 0.0162601911564467 0.00271003185940778
"VITAMIN_B_6_mg" "continuous" 1557 TRUE 0.275872526397356 0.0777725164709635 0.00215202101441252 "None" "None" 0.00215202101441252 "LBXIRN" "WTMEC2YR" 0.0301282942017753 0.00430404202882504
"THIAMIN_mg" "continuous" 1557 TRUE 0.362734097793252 0.104801892346254 0.00261603621889643 "None" "None" 0.00261603621889643 "LBXIRN" "WTMEC2YR" 0.03662450706455 0.00457806338306875
"VITAMIN_C_mg" "continuous" 1557 TRUE 0.0162677400651581 0.00535677880052928 0.0067841915418456 "None" "None" 0.0067841915418456 "LBXIRN" "WTMEC2YR" 0.0949786815858383 0.0105531868428709
"LBXGTC" "continuous" 710 TRUE -0.066561184809415 0.0264874053567756 0.0206545196941852 "None" "None" 0.0206545196941852 "LBXIRN" "WTMEC2YR" 0.289163275718593 0.0289163275718593
"CALCIUM_mg" "continuous" 1561 TRUE 0.0101255396803503 0.00707795005899706 0.16879326217834 "None" "None" 0.16879326217834 "LBXIRN" "WTMEC2YR" 1 0.208615523881006
"LBXCOT" "continuous" 1510 TRUE -0.0887474475122701 0.0635725632200566 0.17881330618372 "None" "None" 0.17881330618372 "LBXIRN" "WTMEC2YR" 1 0.208615523881006
"DR1TP184" "continuous" 1469 TRUE -46.597611890687 68.7759646481112 0.506238433025826 "None" "None" 0.506238433025826 "LBXIRN" "WTDRD1" 1 0.545179850950889
"URXMCP" "continuous" 241 TRUE 0.182099897992637 3.21805951378693 0.955574937287199 "None" "None" 0.955574937287199 "LBXIRN" "WTSB2YR" 1 0.955574937287199
