"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXVIA" "continuous" 10007 TRUE "0.302009129426912" "0.0241329742716313" "2.56020249370234e-10" "None" "None" 2.56020249370234e-10 "LBXSIR" "WTMEC4YR" 8.24385202972152e-08 8.24385202972152e-08
"LBXGTC" "continuous" 9389 TRUE "-0.0282005446824902" "0.00273786372646443" "5.65431128637417e-09" "None" "None" 5.65431128637417e-09 "LBXSIR" "WTMEC4YR" 1.82068823421248e-06 9.10344117106242e-07
"DR1TALCO" "continuous" 9665 TRUE "0.127054235809671" "0.0136137604209907" "2.55668621896326e-08" "None" "None" 2.55668621896326e-08 "LBXSIR" "WTDR4YR (16 observations are missing weights)" 8.23252962506168e-06 2.74417654168723e-06
"total_days_drink_year" "continuous" 4779 TRUE "0.0392711854401374" "0.00778590040210694" "8.44373239480054e-05" "None" "None" 8.44373239480054e-05 "LBXSIR" "WTMEC4YR" 0.0271888183112577 0.00679720457781443
"LBXMIR" "continuous" 3100 TRUE "3.09613139419105" "0.687936189292504" "0.000276627946033245" "None" "None" 0.000276627946033245 "LBXSIR" "WTSPO4YR" 0.089074198622705 0.017814839724541
"DRD370DQ" "continuous" 671 TRUE "-2.76297364798685" "0.701663489052506" "0.00106115845453216" "None" "None" 0.00106115845453216 "LBXSIR" "WTDR4YR (1 observations are missing weights)" 0.341693022359354 0.0569488370598924
"URXMZP" "continuous" 3361 TRUE "-0.0455940566939409" "0.0132096868820014" "0.00284686179221321" "None" "None" 0.00284686179221321 "LBXSIR" "WTSPH4YR" 0.916689497092653 0.129103665770524
"DR1TCARB" "continuous" 9665 TRUE "-0.01120284534886" "0.00329714909904769" "0.00320754449119314" "None" "None" 0.00320754449119314 "LBXSIR" "WTDR4YR (16 observations are missing weights)" 1 0.129103665770524
"URXUPT" "continuous" 3205 TRUE "4.32092646767765" "1.3570476835478" "0.00513935308535654" "None" "None" 0.00513935308535654 "LBXSIR" "WTSHM4YR" 1 0.160767720310121
"quantity_drink_per_day" "continuous" 4775 TRUE "0.938214905482721" "0.295452233871212" "0.00523668360716606" "None" "None" 0.00523668360716606 "LBXSIR" "WTMEC4YR" 1 0.160767720310121
