"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXB12" "continuous" 3903 TRUE "0.000163878820321309" "2.07418955434247e-05" "4.32354432002493e-07" "None" "None" 4.32354432002493e-07 "logLBXRBF" "WTMEC4YR" 9.2956202880536e-05 9.2956202880536e-05
"URXOP3" "continuous" 1334 TRUE "5.68599475041832e-07" "8.33915195678076e-08" "2.99046185628727e-06" "None" "None" 2.99046185628727e-06 "logLBXRBF" "WTSPP4YR" 0.000642949299101763 0.000321474649550882
"LBXGHC" "continuous" 496 TRUE "-1.63715016545979" "0.287139987424121" "2.59692098458963e-05" "None" "None" 2.59692098458963e-05 "logLBXRBF" "WTSPO4YR" 0.0055833801168677 0.00186112670562257
"URXP08" "continuous" 1014 TRUE "0.000348158570224096" "6.53203309210613e-05" "5.5264941818573e-05" "None" "None" 5.5264941818573e-05 "logLBXRBF" "WTSPH4YR" 0.0118819624909932 0.0029704906227483
"URXMOP" "continuous" 1084 TRUE "0.00768788612996462" "0.00157718520374215" "0.000142619579519509" "None" "None" 0.000142619579519509 "logLBXRBF" "WTSPH4YR" 0.0306632095966945 0.00613264191933891
"supplement_count" "continuous" 3987 TRUE "0.0445526090720716" "0.0100581277057788" "0.000367189725804589" "None" "None" 0.000367189725804589 "logLBXRBF" "WTMEC4YR" 0.0789457910479867 0.0131576318413311
"LBX153" "continuous" 497 TRUE "-0.453716829200713" "0.115162063585752" "0.00105641943466982" "None" "None" 0.00105641943466982 "logLBXRBF" "WTSPO4YR" 0.227130178454012 0.027870321814479
"LBX138" "continuous" 494 TRUE "-0.702417305425507" "0.178439093786621" "0.00106413890320763" "None" "None" 0.00106413890320763 "logLBXRBF" "WTSPO4YR" 0.228789864189641 0.027870321814479
"URXMZP" "continuous" 1084 TRUE "0.00025452004649216" "6.53613125167744e-05" "0.00116666463409447" "None" "None" 0.00116666463409447 "logLBXRBF" "WTSPH4YR" 0.250832896330311 0.027870321814479
"DR1TTHEO" "continuous" 3770 TRUE "-0.000154226605772201" "4.12306777385451e-05" "0.00162788684402213" "None" "None" 0.00162788684402213 "logLBXRBF" "WTDR4YR (48 observations are missing weights)" 0.349995671464758 0.0349995671464758
"LBXVIA" "continuous" 3866 TRUE "0.00296324472509814" "0.000857691912426968" "0.0030257743846445" "None" "None" 0.0030257743846445 "logLBXRBF" "WTMEC4YR" 0.650541492698568 0.0591401356998699
"LBXVIE" "continuous" 3851 TRUE "0.000106081872270899" "3.17794893799278e-05" "0.00389625427629797" "None" "None" 0.00389625427629797 "logLBXRBF" "WTMEC4YR" 0.837694669404063 0.0698078891170052
"LBXGTC" "continuous" 3574 TRUE "-0.000273842088373883" "8.3353635558858e-05" "0.00436641494613295" "None" "None" 0.00436641494613295 "logLBXRBF" "WTMEC4YR" 0.938779213418585 0.0703562460420464
"URXP07" "continuous" 1011 TRUE "-8.8455622888698e-06" "2.7108429201423e-06" "0.00458133695157512" "None" "None" 0.00458133695157512 "logLBXRBF" "WTSPH4YR" 0.98498744458865 0.0703562460420464
"URXUSB" "continuous" 998 TRUE "-0.0886772096373708" "0.0282296753572578" "0.00595346256064895" "None" "None" 0.00595346256064895 "logLBXRBF" "WTSHM4YR" 1 0.0853126370372136
"LBX183" "continuous" 497 TRUE "-3.27408499614591" "1.05231940250333" "0.00634884740742055" "None" "None" 0.00634884740742055 "logLBXRBF" "WTSPO4YR" 1 0.0853126370372136
"VITAMIN_C_mg" "continuous" 3979 TRUE "0.000196204344869291" "6.39463909085925e-05" "0.00696191907443152" "None" "None" 0.00696191907443152 "logLBXRBF" "WTMEC4YR" 1 0.086276550189322
"LBXPDE" "continuous" 502 TRUE "-0.00943989544015746" "0.00311932683020547" "0.00761582316588797" "None" "None" 0.00761582316588797 "logLBXRBF" "WTSPO4YR" 1 0.086276550189322
"URXP05" "continuous" 1034 TRUE "-9.69943062003518e-06" "3.20564885139714e-06" "0.00762443931905636" "None" "None" 0.00762443931905636 "logLBXRBF" "WTSPH4YR" 1 0.086276550189322
"LBX177" "continuous" 491 TRUE "-3.64848935035227" "1.22138708755296" "0.00827800416379032" "None" "None" 0.00827800416379032 "logLBXRBF" "WTSPO4YR" 1 0.0889885447607459
"LBXVID" "continuous" 1679 TRUE "0.00469437850879513" "0.00100337803467008" "0.00945774164479709" "None" "None" 0.00945774164479709 "logLBXRBF" "WTMEC4YR" 1 0.0968292596967321
"URXP15" "continuous" 1026 TRUE "0.000714844293963111" "0.000249527799659678" "0.0107335182588284" "None" "None" 0.0107335182588284 "logLBXRBF" "WTMEC4YR" 1 0.104895746620369
"DR1TCAFF" "continuous" 3770 TRUE "-0.000321981193043637" "0.000114366109371231" "0.0119139003352567" "None" "None" 0.0119139003352567 "logLBXRBF" "WTDR4YR (48 observations are missing weights)" 1 0.111369068351313
"LBX187" "continuous" 496 TRUE "-0.919268136543842" "0.335804781332109" "0.0140304630357958" "None" "None" 0.0140304630357958 "logLBXRBF" "WTSPO4YR" 1 0.121301277548505
"LBXLYC" "continuous" 2074 TRUE "-0.00283097077892456" "0.000698534787921162" "0.0154409622982875" "None" "None" 0.0154409622982875 "logLBXRBF" "WTMEC4YR" 1 0.121301277548505
"LBXRST" "continuous" 2998 TRUE "0.0331105456457183" "0.0123152216347093" "0.0155407301413705" "None" "None" 0.0155407301413705 "logLBXRBF" "WTMEC4YR" 1 0.121301277548505
