"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXB12" "continuous" 4245 TRUE 0.000151913213002674 2.13765225872335e-05 1.2679040494433e-06 "None" "None" 1.2679040494433e-06 "logLBXRBF" "WTMEC2YR" 2.66259850383093e-05 2.66259850383093e-05
"LBXVID" "continuous" 4348 TRUE 0.00390713043222737 0.000831648118625454 0.000179211609940557 "None" "None" 0.000179211609940557 "logLBXRBF" "WTMEC2YR" 0.0037634438087517 0.00188172190437585
"LBXVIE" "continuous" 2979 TRUE 0.000113035534706671 3.05619140253824e-05 0.001643867707596 "None" "None" 0.001643867707596 "logLBXRBF" "WTMEC2YR" 0.0345212218595159 0.011507073953172
"supplement_count" "continuous" 4426 TRUE 0.0398173124404015 0.0123576485626194 0.00472727470234329 "None" "None" 0.00472727470234329 "logLBXRBF" "WTMEC2YR" 0.0992727687492091 0.0248181921873023
"LBXVIA" "continuous" 2979 TRUE 0.0026891769670459 0.000901452560484168 0.00797191674247776 "None" "None" 0.00797191674247776 "logLBXRBF" "WTMEC2YR" 0.167410251592033 0.0334820503184066
"VITAMIN_C_mg" "continuous" 4427 TRUE 9.42943441696764e-05 4.3970190448641e-05 0.04589226058188 "None" "None" 0.04589226058188 "logLBXRBF" "WTMEC2YR" 0.963737472219481 0.147024294810984
"DR1TTHEO" "continuous" 4167 TRUE -0.000209962082492831 9.94544020795624e-05 0.049008098270328 "None" "None" 0.049008098270328 "logLBXRBF" "WTDRD1" 1 0.147024294810984
"URXOP3" "continuous" 510 TRUE -0.000796314178811133 0.000489364367031997 0.179014888950623 "None" "None" 0.179014888950623 "logLBXRBF" "WTSC2YR" 1 0.469914083495384
"LBXGTC" "continuous" 2973 TRUE -0.00012498063344559 9.46609842393653e-05 0.203279447155487 "None" "None" 0.203279447155487 "logLBXRBF" "WTMEC2YR" 1 0.474318710029471
"URXP07" "continuous" 526 TRUE 0.000117795106321508 9.84211614346896e-05 0.29744950020022 "None" "None" 0.29744950020022 "logLBXRBF" "WTSB2YR" 1 0.613802906418799
"URXMZP" "continuous" 1057 TRUE 4.77792550411931e-05 4.68695750975125e-05 0.321515808124133 "None" "None" 0.321515808124133 "logLBXRBF" "WTSB2YR" 1 0.613802906418799
"LBX138" "continuous" 209 TRUE -1.31329111786877 1.19993591633894 0.35375423151358 "None" "None" 0.35375423151358 "logLBXRBF" "WTSC2YR" 1 0.619069905148766
"LBX153" "continuous" 208 TRUE -0.895012222483516 0.997792329668607 0.435823703574336 "None" "None" 0.435823703574336 "logLBXRBF" "WTSC2YR" 1 0.680610055539799
"LBX183" "continuous" 205 TRUE -9.21704613026652 11.2730743777311 0.473470795812596 "None" "None" 0.473470795812596 "logLBXRBF" "WTSC2YR" 1 0.680610055539799
"URXUSB" "continuous" 994 TRUE -0.0558859737369314 0.090341189093479 0.543922948719704 "None" "None" 0.543922948719704 "logLBXRBF" "WTSA2YR" 1 0.680610055539799
"LBX177" "continuous" 204 TRUE -7.60763141902504 11.4010811573666 0.552336385597819 "None" "None" 0.552336385597819 "logLBXRBF" "WTSC2YR" 1 0.680610055539799
"LBXGHC" "continuous" 222 TRUE -3.78452148934228 6.93723696397262 0.614379930889639 "None" "None" 0.614379930889639 "logLBXRBF" "WTSB2YR" 1 0.680610055539799
"LBXPDE" "continuous" 219 TRUE -0.0063935429894215 0.0125298097738018 0.636732978955735 "None" "None" 0.636732978955735 "logLBXRBF" "WTSB2YR" 1 0.680610055539799
"URXP05" "continuous" 502 TRUE 2.50437381847565e-05 5.01439610614878e-05 0.643693035358753 "None" "None" 0.643693035358753 "logLBXRBF" "WTSB2YR" 1 0.680610055539799
"URXP08" "continuous" 463 TRUE -0.000397013273221138 0.000806182876859861 0.648200052895046 "None" "None" 0.648200052895046 "logLBXRBF" "WTSB2YR" 1 0.680610055539799
"URXMOP" "continuous" 1057 TRUE -0.00241399957947749 0.00733694944676574 0.745938243957938 "None" "None" 0.745938243957938 "logLBXRBF" "WTSB2YR" 1 0.745938243957938
