"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TIRON" "continuous" 9632 TRUE "0.00535919205053523" "0.000392881255092069" "1.38382179937292e-10" "None" "None" 1.38382179937292e-10 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 4.4143915399996e-08 4.4143915399996e-08
"LBXCOT" "continuous" 9711 TRUE "-0.000479879782985423" "4.60316212403829e-05" "8.38323497940195e-09" "None" "None" 8.38323497940195e-09 "logLBXRBF" "WTMEC4YR" 2.67425195842922e-06 9.22148422654248e-07
"LBXVIA" "continuous" 9855 TRUE "0.00367925826048724" "0.000356560144365439" "9.75561312261057e-09" "None" "None" 9.75561312261057e-09 "logLBXRBF" "WTMEC4YR" 3.11204058611277e-06 9.22148422654248e-07
"SMD410" "categorical" 9983 TRUE "None" "None" "None" "1.15629896257586e-08" "None" 1.15629896257586e-08 "logLBXRBF" "WTMEC4YR" 3.68859369061699e-06 9.22148422654248e-07
"DR1TVB1" "continuous" 9632 TRUE "0.0484409976347948" "0.00502943562445501" "2.67680805053101e-08" "None" "None" 2.67680805053101e-08 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 8.53901768119393e-06 1.70780353623879e-06
"LBXVIE" "continuous" 9824 TRUE "0.000111474891094308" "1.25451012516035e-05" "8.49042841461958e-08" "None" "None" 8.49042841461958e-08 "logLBXRBF" "WTMEC4YR" 2.70844666426365e-05 4.34237248603566e-06
"DR1TVB2" "continuous" 9632 TRUE "0.0369434563510982" "0.0041916207837519" "9.52871705399674e-08" "None" "None" 9.52871705399674e-08 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 3.03966074022496e-05 4.34237248603566e-06
"DR1TVB6" "continuous" 9632 TRUE "0.0383624398016697" "0.00478555749273364" "3.55016110584965e-07" "None" "None" 3.55016110584965e-07 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 0.000113250139276604 1.41562674095755e-05
"cigarette_smoking" "categorical" 3668 TRUE "None" "None" "None" "4.1909277395627e-07" "None" 4.1909277395627e-07 "logLBXRBF" "WTMEC4YR" 0.00013369059489205 1.48545105435611e-05
"SMQ040" "categorical" 3668 TRUE "None" "None" "None" "6.65629748930005e-07" "None" 6.65629748930005e-07 "logLBXRBF" "WTMEC4YR" 0.000212335889908672 2.12335889908672e-05
"supplement_count" "continuous" 9975 TRUE "0.0288237010860403" "0.00380549330746478" "7.62288690177362e-07" "None" "None" 7.62288690177362e-07 "logLBXRBF" "WTMEC4YR" 0.000243170092166579 2.21063720151435e-05
"SMQ020" "categorical" 7640 TRUE "None" "None" "None" "8.87488327959804e-07" "None" 8.87488327959804e-07 "logLBXRBF" "WTMEC4YR" 0.000283108776619178 2.35923980515981e-05
"DR1TMAGN" "continuous" 9632 TRUE "0.000271230269418699" "3.68468671065449e-05" "1.11224791905937e-06" "None" "None" 1.11224791905937e-06 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 0.000354807086179938 2.72928527830721e-05
"DR1TNIAC" "continuous" 9632 TRUE "0.00292442956041146" "0.000413894380818569" "1.89619622024749e-06" "None" "None" 1.89619622024749e-06 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 0.000604886594258949 4.32061853042106e-05
"DR1TFIBE" "continuous" 9632 TRUE "0.00392935418359759" "0.000561541503123931" "2.14835797136927e-06" "None" "None" 2.14835797136927e-06 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 0.000685326192866797 4.56884128577865e-05
"LBXBCD" "continuous" 9980 TRUE "-0.0670997296445815" "0.00985297543418773" "3.03719015087102e-06" "None" "None" 3.03719015087102e-06 "logLBXRBF" "WTMEC4YR" 0.000968863658127856 6.0553978632991e-05
"LBXGTC" "continuous" 9237 TRUE "-0.000361177750363302" "5.33418933567354e-05" "3.26676593189937e-06" "None" "None" 3.26676593189937e-06 "logLBXRBF" "WTMEC4YR" 0.0010420983322759 6.12999018985823e-05
"DR1TZINC" "continuous" 9632 TRUE "0.00300235400486149" "0.000450597457471221" "3.99898670586977e-06" "None" "None" 3.99898670586977e-06 "logLBXRBF" "WTDR4YR (16 observations are missing weights)" 0.00127567675917246 7.08709310651364e-05
