"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"supplement_count" "continuous" 10598 TRUE "0.052676276875271" "0.00212097861123229" "2.22584202362635e-15" "None" "None" 2.22584202362635e-15 "logLBXRBF" "WTMEC2YR" 1.42453889512086e-13 1.42453889512086e-13
"LBXVIE" "continuous" 10413 TRUE "0.000175403138261488" "7.76501733733091e-06" "1.16648085878294e-14" "None" "None" 1.16648085878294e-14 "logLBXRBF" "WTMEC2YR" 7.46547749621084e-13 3.73273874810542e-13
"SMD080" "continuous" 4812 TRUE "-0.00540726720259909" "0.000330908642061776" "3.05210277903519e-12" "None" "None" 3.05210277903519e-12 "logLBXRBF" "WTMEC2YR" 1.95334577858252e-10 6.51115259527507e-11
"DR1TFDFE" "continuous" 10194 TRUE "0.000214844728367003" "1.46547948723473e-05" "1.88981999811995e-11" "None" "None" 1.88981999811995e-11 "logLBXRBF" "WTDRD1" 1.20948479879677e-09 3.02371199699192e-10
"DR1TIRON" "continuous" 10194 TRUE "0.00867219665627744" "0.000635862854333183" "6.26446406368648e-11" "None" "None" 6.26446406368648e-11 "logLBXRBF" "WTDRD1" 4.00925700075935e-09 8.0185140015187e-10
"LBXCOT" "continuous" 10499 TRUE "-0.000504043008851541" "3.88139909860505e-05" "1.40098253814778e-10" "None" "None" 1.40098253814778e-10 "logLBXRBF" "WTMEC2YR" 8.96628824414577e-09 1.34769561546965e-09
"LBXRST" "continuous" 10012 TRUE "0.121587924835157" "0.00939272509995194" "1.47569550405011e-10" "None" "None" 1.47569550405011e-10 "logLBXRBF" "WTMEC2YR" 9.44445122592071e-09 1.34769561546965e-09
"LBXVID" "continuous" 10541 TRUE "0.00760501450911581" "0.000592274467175844" "1.68461951933706e-10" "None" "None" 1.68461951933706e-10 "logLBXRBF" "WTMEC2YR" 1.07815649237572e-08 1.34769561546965e-09
"DR1TFA" "continuous" 10194 TRUE "0.000359447786414869" "2.84467261228732e-05" "2.18831868363184e-10" "None" "None" 2.18831868363184e-10 "logLBXRBF" "WTDRD1" 1.40052395752438e-08 1.55613773058264e-09
"SMD410" "categorical" 10604 TRUE "None" "None" "None" "4.4947671454766e-10" "None" 4.4947671454766e-10 "logLBXRBF" "WTMEC2YR" 2.87665097310503e-08 2.81485764967619e-09
"DR1TVB2" "continuous" 10194 TRUE "0.0500617123105406" "0.0041608942147345" "4.83803658538094e-10" "None" "None" 4.83803658538094e-10 "logLBXRBF" "WTDRD1" 3.0963434146438e-08 2.81485764967619e-09
"LBXVIA" "continuous" 10413 TRUE "0.00440858952544505" "0.000386192377427189" "1.12259329143107e-09" "None" "None" 1.12259329143107e-09 "logLBXRBF" "WTMEC2YR" 7.18459706515883e-08 5.98716422096569e-09
"LBXCBC" "continuous" 9951 TRUE "0.0407147227136688" "0.00373024881968618" "2.28462319822022e-09" "None" "None" 2.28462319822022e-09 "logLBXRBF" "WTMEC2YR" 1.46215884686094e-07 1.06912567535018e-08
"LBXBEC" "continuous" 10413 TRUE "0.0028253130787898" "0.000259237651802545" "2.33871241482851e-09" "None" "None" 2.33871241482851e-09 "logLBXRBF" "WTMEC2YR" 1.49677594549025e-07 1.06912567535018e-08
"DR1TFIBE" "continuous" 10194 TRUE "0.00718635586430608" "0.000682889044047937" "4.04989985799919e-09" "None" "None" 4.04989985799919e-09 "logLBXRBF" "WTDRD1" 2.59193590911948e-07 1.67465178964814e-08
"DR1TVB6" "continuous" 10194 TRUE "0.0522703076360714" "0.00498050761621485" "4.22483438753511e-09" "None" "None" 4.22483438753511e-09 "logLBXRBF" "WTDRD1" 2.70389400802247e-07 1.67465178964814e-08
"DR1TVB1" "continuous" 10194 TRUE "0.0690195666628384" "0.00659821722562424" "4.44829381625289e-09" "None" "None" 4.44829381625289e-09 "logLBXRBF" "WTDRD1" 2.84690804240185e-07 1.67465178964814e-08
"SMQ040" "categorical" 5953 TRUE "None" "None" "None" "9.54397071822793e-09" "None" 9.54397071822793e-09 "logLBXRBF" "WTMEC2YR" 6.10814125966588e-07 3.39341181092549e-08
"DR1TMAGN" "continuous" 10194 TRUE "0.000410224030147186" "4.16664652798499e-05" "1.13443813224057e-08" "None" "None" 1.13443813224057e-08 "logLBXRBF" "WTDRD1" 7.26040404633966e-07 3.82126528754719e-08
"LBXBCD" "continuous" 10593 TRUE "-0.0655957241362456" "0.00674931115976564" "1.3825697959621e-08" "None" "None" 1.3825697959621e-08 "logLBXRBF" "WTMEC2YR" 8.84844669415746e-07 4.33695245118906e-08
"LBXCRY" "continuous" 10367 TRUE "0.00687971748162913" "0.000709212330265615" "1.42306252304641e-08" "None" "None" 1.42306252304641e-08 "logLBXRBF" "WTMEC2YR" 9.10760014749703e-07 4.33695245118906e-08
"DR1TPOTA" "continuous" 10194 TRUE "4.35842966436045e-05" "4.72183435885416e-06" "3.01824081371165e-08" "None" "None" 3.01824081371165e-08 "logLBXRBF" "WTDRD1" 1.93167412077546e-06 8.46499349206185e-08
"DR1TCALC" "continuous" 10194 TRUE "9.76012102283678e-05" "1.05794659679017e-05" "3.04210703620973e-08" "None" "None" 3.04210703620973e-08 "logLBXRBF" "WTDRD1" 1.94694850317422e-06 8.46499349206185e-08
"DR1TFF" "continuous" 10194 TRUE "0.00045011716729752" "4.92910963294949e-05" "3.54512223098652e-08" "None" "None" 3.54512223098652e-08 "logLBXRBF" "WTDRD1" 2.26887822783137e-06 9.45365928263071e-08
"DR1TNIAC" "continuous" 10194 TRUE "0.00367939250669768" "0.000409886902910555" "4.57822399727296e-08" "None" "None" 4.57822399727296e-08 "logLBXRBF" "WTDRD1" 2.93006335825469e-06 1.17202534330188e-07
"LBXRPL" "continuous" 10191 TRUE "0.0328547370720227" "0.00372938685951692" "6.04718467557995e-08" "None" "None" 6.04718467557995e-08 "logLBXRBF" "WTMEC2YR" 3.87019819237117e-06 1.4885377662966e-07
