"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"supplement_count" "continuous" 5344 TRUE 0.25492042845636 0.0460400956483527 3.62151985249162e-05 "None" "None" 3.62151985249162e-05 "anemia" "WTMEC4YR" 0.0020280511173953 0.00129897401770428
"LBXRBF" "continuous" 5348 TRUE 0.00344153178118579 0.000635510137113079 4.63919292037243e-05 "None" "None" 4.63919292037243e-05 "anemia" "WTMEC4YR" 0.00259794803540856 0.00129897401770428
"LBXVIA" "continuous" 5341 TRUE -0.0182516616545528 0.00503692538277554 0.00209872757513572 "None" "None" 0.00209872757513572 "anemia" "WTMEC4YR" 0.1175287442076 0.0391762480692
"LBXGTC" "continuous" 4992 TRUE -0.00375584473350976 0.00112775294988565 0.00396146957902819 "None" "None" 0.00396146957902819 "anemia" "WTMEC4YR" 0.221842296425579 0.0554605741063947
"DR1TIRON" "continuous" 5151 TRUE 0.0202387896822671 0.00734045310581837 0.0134643824529366 "None" "None" 0.0134643824529366 "anemia" "WTDR4YR (9 observations are missing weights)" 0.754005417364447 0.150801083472889
"DR1TVC" "continuous" 5151 TRUE 0.0021449038932912 0.000863990503141655 0.0237811190852236 "None" "None" 0.0237811190852236 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.192762959126196
"LBXBCD" "continuous" 5345 TRUE -1.66167739871613 0.671079545228747 0.0240953698907745 "None" "None" 0.0240953698907745 "anemia" "WTMEC4YR" 1 0.192762959126196
"LBXVIE" "continuous" 5327 TRUE 0.000302102836739505 0.000128314973729066 0.0308368738832544 "None" "None" 0.0308368738832544 "anemia" "WTMEC4YR" 1 0.215858117182781
"DSDCOUNT" "continuous" 5349 TRUE 0.0234501272342697 0.0103985993998201 0.0375991089270429 "None" "None" 0.0375991089270429 "anemia" "WTMEC4YR" 1 0.225664206540712
"DR1TTHEO" "continuous" 5151 TRUE -0.0020249297214376 0.000912091390539724 0.0402971797394128 "None" "None" 0.0402971797394128 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.225664206540712
"DR1TP205" "continuous" 5151 TRUE -0.758600694599079 0.382057220513986 0.0634538165956652 "None" "None" 0.0634538165956652 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.32303761175975
"DR1TFIBE" "continuous" 5151 TRUE 0.0180182605988959 0.00953941321486958 0.0760993153677444 "None" "None" 0.0760993153677444 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.355130138382807
"DR1TS180" "continuous" 5151 TRUE -0.0600271571478885 0.0338474727377738 0.0940664171027925 "None" "None" 0.0940664171027925 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.405209181365875
"DR1TMAGN" "continuous" 5151 TRUE 0.00132096666057785 0.000765497359828221 0.102542701345003 "None" "None" 0.102542701345003 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.410170805380012
"DR1TM161" "continuous" 5151 TRUE -0.223799485452338 0.137202279336407 0.121241094639294 "None" "None" 0.121241094639294 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.452633419986697
"DR1TS160" "continuous" 5151 TRUE -0.023061265883997 0.0154463608464758 0.153766548277994 "None" "None" 0.153766548277994 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.53276576513973
"DR1TSFAT" "continuous" 5151 TRUE -0.0119579513286711 0.00817403185941469 0.161732464417418 "None" "None" 0.161732464417418 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.53276576513973
"DR1TALCO" "continuous" 5151 TRUE -0.0039598478354456 0.00290457307347534 0.190567443954293 "None" "None" 0.190567443954293 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.592876492302246
"DR1TM221" "continuous" 5151 TRUE -0.539934720434427 0.412456519148316 0.207929891636578 "None" "None" 0.207929891636578 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.612845996402545
"DR1TP184" "continuous" 5151 TRUE -2.37821459531132 1.90769196592578 0.229432117751494 "None" "None" 0.229432117751494 "anemia" "WTDR4YR (9 observations are missing weights)" 1 0.642409929704183
"LBXFOL" "continuous" 5346 TRUE 0.0149215686163241 0.0125653585201853 0.251352227454801 "None" "None" 0.251352227454801 "anemia" "WTMEC4YR" 1 0.65297463447285
