"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TCAFF" "continuous" 2870 TRUE -0.0182142849581287 0.00702504651232334 0.00956952206263795 "None" "None" 0.00956952206263795 "anemia" "WTDR8YR (1900 observations are missing weights)" 0.459337059006621 0.334238738432419
"DR1TMFAT" "continuous" 2870 TRUE -0.0262546557133546 0.0117362750116576 0.0253600376678357 "None" "None" 0.0253600376678357 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.334238738432419
"DR1TM181" "continuous" 2870 TRUE -0.0272042919392176 0.0122546549062512 0.0265030005601434 "None" "None" 0.0265030005601434 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.334238738432419
"DR1TS160" "continuous" 2870 TRUE -0.0617673960705474 0.0282420250433463 0.0288181980957882 "None" "None" 0.0288181980957882 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.334238738432419
"DR1TTFAT" "continuous" 2870 TRUE -0.010623662995041 0.00508459882413854 0.0367619966749445 "None" "None" 0.0367619966749445 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.334238738432419
"DR1TSFAT" "continuous" 2870 TRUE -0.0310229291240008 0.0152325110233473 0.0417798423040524 "None" "None" 0.0417798423040524 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.334238738432419
"DR1TS180" "continuous" 2870 TRUE -0.104323529565868 0.0550608231168856 0.058233869739045 "None" "None" 0.058233869739045 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.393023288093133
"DR1TS140" "continuous" 2870 TRUE -0.238432752212805 0.129446986348052 0.065588773288614 "None" "None" 0.065588773288614 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.393023288093133
"DR1TS040" "continuous" 2870 TRUE -0.720493957965642 0.402944222348574 0.0738703968829134 "None" "None" 0.0738703968829134 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.393023288093133
"DR1TM161" "continuous" 2870 TRUE -0.404615451164199 0.232471261519577 0.0818798516860693 "None" "None" 0.0818798516860693 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.393023288093133
"DR1TPFAT" "continuous" 2870 TRUE -0.0270140403272781 0.0180481036326962 0.134561323892897 "None" "None" 0.134561323892897 "anemia" "WTDR8YR (1900 observations are missing weights)" 1 0.469437502217516
