"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"DR1TP182" "continuous" 2637 TRUE 0.0192594658357088 0.0119900212534518 0.124702005803916 "None" "None" 0.124702005803916 "anemia" "WTDRD1" 1 0.563120094276493
"DR1TPFAT" "continuous" 2637 TRUE 0.0178614881003542 0.0115068662021074 0.137101576489149 "None" "None" 0.137101576489149 "anemia" "WTDRD1" 1 0.563120094276493
"DR1TS180" "continuous" 2637 TRUE -0.0479047267612937 0.0311676839492944 0.140780023569123 "None" "None" 0.140780023569123 "anemia" "WTDRD1" 1 0.563120094276493
"DR1TSFAT" "continuous" 2637 TRUE -0.00982832024626155 0.00823297669134356 0.247258624960377 "None" "None" 0.247258624960377 "anemia" "WTDRD1" 1 0.608070529755529
"DR1TS160" "continuous" 2637 TRUE -0.0183660130373091 0.0155915775384388 0.25336272073147 "None" "None" 0.25336272073147 "anemia" "WTDRD1" 1 0.608070529755529
"DR1TFIBE" "continuous" 2637 TRUE -0.0164280849749865 0.0156592633407918 0.307295628911535 "None" "None" 0.307295628911535 "anemia" "WTDRD1" 1 0.61459125782307
"DR1TKCAL" "continuous" 2637 TRUE -0.000103357404676419 0.000118794373229471 0.395130859985953 "None" "None" 0.395130859985953 "anemia" "WTDRD1" 1 0.677367188547348
"DR1TMFAT" "continuous" 2637 TRUE -0.00498254524518072 0.00736692686449068 0.506975469940828 "None" "None" 0.506975469940828 "anemia" "WTDRD1" 1 0.67878710131253
"DR1TM181" "continuous" 2637 TRUE -0.00445064641833374 0.00775395704629192 0.572711680923214 "None" "None" 0.572711680923214 "anemia" "WTDRD1" 1 0.67878710131253
"DR1TCAFF" "continuous" 2637 TRUE -0.00254878418621177 0.00470576291262703 0.594368358401152 "None" "None" 0.594368358401152 "anemia" "WTDRD1" 1 0.67878710131253
"DR1TTFAT" "continuous" 2637 TRUE -0.00130019515045467 0.00274751207536059 0.641443161912546 "None" "None" 0.641443161912546 "anemia" "WTDRD1" 1 0.67878710131253
"LBXBCD" "continuous" 2809 TRUE 0.398947410427349 0.948585731780812 0.67878710131253 "None" "None" 0.67878710131253 "anemia" "WTMEC2YR" 1 0.67878710131253
