"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"VITAMIN_A_IU" "continuous" 3794 TRUE "2.67030021514946e-07" "2.00757341773593e-08" "2.05165316639337e-10" "None" "None" 2.05165316639337e-10 "LBXHGB" "WTMEC4YR" 4.39053777608181e-08 2.2024007107704e-08
"CALCIUM_mg" "continuous" 3794 TRUE "1.23837276233947e-05" "9.45221040185833e-07" "2.59653616176941e-10" "None" "None" 2.59653616176941e-10 "LBXHGB" "WTMEC4YR" 5.55658738618654e-08 2.2024007107704e-08
"FOLIC_ACID_mcg" "continuous" 3795 TRUE "3.33474071030346e-06" "2.57386599650316e-07" "3.08747763192112e-10" "None" "None" 3.08747763192112e-10 "LBXHGB" "WTMEC4YR" 6.6072021323112e-08 2.2024007107704e-08
"VITAMIN_B_12_mcg" "continuous" 3796 TRUE "0.000221662403896958" "1.85359458987606e-05" "1.06095818487193e-09" "None" "None" 1.06095818487193e-09 "LBXHGB" "WTMEC4YR" 2.27045051562593e-07 5.67612628906483e-08
"LBXVIA" "continuous" 3807 TRUE "0.0282750284547571" "0.00313989655733475" "7.02958159794319e-08" "None" "None" 7.02958159794319e-08 "LBXHGB" "WTMEC4YR" 1.50433046195984e-05 3.00866092391968e-06
"THIAMIN_mg" "continuous" 3795 TRUE "0.000891085215373774" "0.000121924556688867" "1.22185753956075e-06" "None" "None" 1.22185753956075e-06 "LBXHGB" "WTMEC4YR" 0.000261477513466001 4.35795855776669e-05
"LBXIRN" "continuous" 3797 TRUE "0.0049541526040127" "0.000713093361746384" "2.35537117936554e-06" "None" "None" 2.35537117936554e-06 "LBXHGB" "WTMEC4YR" 0.000504049432384224 7.20070617691749e-05
"URXUCS" "continuous" 997 TRUE "-0.00596375107089681" "0.00088565317771545" "3.50236094485936e-06" "None" "None" 3.50236094485936e-06 "LBXHGB" "WTSHM4YR" 0.000749505242199902 9.36881552749877e-05
"RIBOFLAVIN_mg" "continuous" 3795 TRUE "0.000843545004493846" "0.000129261654556268" "5.18281268645854e-06" "None" "None" 5.18281268645854e-06 "LBXHGB" "WTMEC4YR" 0.00110912191490213 0.000123235768322459
"URXOP3" "continuous" 1287 TRUE "-2.27970228026167e-06" "3.78479386198469e-07" "1.36961211492543e-05" "None" "None" 1.36961211492543e-05 "LBXHGB" "WTSPP4YR" 0.00293096992594041 0.000293096992594041
"VITAMIN_C_mg" "continuous" 3787 TRUE "2.54328816893154e-05" "4.75518103824779e-06" "5.32108955721204e-05" "None" "None" 5.32108955721204e-05 "LBXHGB" "WTMEC4YR" 0.0113871316524338 0.00103519378658489
"LBXPDT" "continuous" 495 TRUE "-0.121345658291387" "0.0231091546575977" "6.50367761644923e-05" "None" "None" 6.50367761644923e-05 "LBXHGB" "WTSPO4YR" 0.0139178700992014 0.00115982250826678
"LBX178" "continuous" 493 TRUE "64.9643995744453" "12.6636602455704" "8.35608427393524e-05" "None" "None" 8.35608427393524e-05 "LBXHGB" "WTSPO4YR" 0.0178820203462214 0.00137554002663242
"LBX157" "continuous" 490 TRUE "70.0100466059519" "14.0200775279454" "0.000111065864988952" "None" "None" 0.000111065864988952 "LBXHGB" "WTSPO4YR" 0.0237680951076357 0.00169772107911683
"LBX128" "continuous" 492 TRUE "67.564364041973" "14.0593733048142" "0.000164882128857432" "None" "None" 0.000164882128857432 "LBXHGB" "WTSPO4YR" 0.0352847755754905 0.00226409104595216
"LBX167" "continuous" 492 TRUE "68.2518980277357" "14.2393439579551" "0.000169277835211376" "None" "None" 0.000169277835211376 "LBXHGB" "WTSPO4YR" 0.0362254567352345 0.00226409104595216
"LBX105" "continuous" 492 TRUE "66.6490511419958" "14.5025433370717" "0.000257417710918068" "None" "None" 0.000257417710918068 "LBXHGB" "WTSPO4YR" 0.0550873901364666 0.00321762485100702
"LBX172" "continuous" 453 TRUE "66.632123486704" "14.5733753910953" "0.000270641342608068" "None" "None" 0.000270641342608068 "LBXHGB" "WTSPO4YR" 0.0579172473181265 0.00321762485100702
"URXMCP" "continuous" 1050 TRUE "-0.0112840909322995" "0.00254343011318128" "0.000361681748429014" "None" "None" 0.000361681748429014 "LBXHGB" "WTSPH4YR" 0.077399894163809 0.00407367864020048
"DR1TPHOS" "continuous" 3604 TRUE "0.000144215346817384" "3.30135200225883e-05" "0.000418669565509412" "None" "None" 0.000418669565509412 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 0.0895952870190141 0.00447976435095071
"VITAMIN_B_6_mg" "continuous" 3795 TRUE "0.00075772602583955" "0.000180801851405213" "0.000613530442463597" "None" "None" 0.000613530442463597 "LBXHGB" "WTMEC4YR" 0.13129551468721 0.0062521673660576
"LBX153" "continuous" 493 TRUE "2.22493610107337" "0.569449443721691" "0.0011339185929131" "None" "None" 0.0011339185929131 "LBXHGB" "WTSPO4YR" 0.242658578883403 0.011029935403791
"DR1TCALC" "continuous" 3604 TRUE "0.000145930235224841" "3.85394576056357e-05" "0.00147335611091192" "None" "None" 0.00147335611091192 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 0.315298207735151 0.0137086177276153
"URXMBP" "continuous" 1050 TRUE "-0.00126148082149642" "0.000338331217802464" "0.00167101003738156" "None" "None" 0.00167101003738156 "LBXHGB" "WTSPH4YR" 0.357596147999654 0.0148998394999856
"LBX138" "continuous" 490 TRUE "2.83095613073122" "0.846860214340564" "0.00385584591095906" "None" "None" 0.00385584591095906 "LBXHGB" "WTSPO4YR" 0.825151024945239 0.0330060409978096
"LBX156" "continuous" 491 TRUE "43.9788438278982" "13.3293002251066" "0.0042354766891757" "None" "None" 0.0042354766891757 "LBXHGB" "WTSPO4YR" 0.9063920114836 0.0348566863734552
"LBXMIR" "continuous" 479 TRUE "35.7760876262676" "10.9007476676667" "0.00439780622468828" "None" "None" 0.00439780622468828 "LBXHGB" "WTSPO4YR" 0.941130532083292 0.0348566863734552
"LBXHCB" "continuous" 458 TRUE "5.902733323438" "1.83934732893287" "0.00547151598750999" "None" "None" 0.00547151598750999 "LBXHGB" "WTMEC4YR" 1 0.0418180150473978
"DR1TPROT" "continuous" 3604 TRUE "0.00172569971527567" "0.000546875907662401" "0.00577363291011825" "None" "None" 0.00577363291011825 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0418259409620377
"URXOP5" "continuous" 1287 TRUE "-0.00070799952533133" "0.00022487796195188" "0.00586344966757537" "None" "None" 0.00586344966757537 "LBXHGB" "WTSPP4YR" 1 0.0418259409620377
"DR1TMAGN" "continuous" 3604 TRUE "0.000640174920824989" "0.000210241452119121" "0.00731775790937333" "None" "None" 0.00731775790937333 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0505161352453514
"DR1TFIBE" "continuous" 3604 TRUE "0.006391942201861" "0.00228178189125323" "0.0122719296073399" "None" "None" 0.0122719296073399 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0797853974260495
"LBX180" "continuous" 492 TRUE "2.47417712708787" "0.886337735828073" "0.0125284531660827" "None" "None" 0.0125284531660827 "LBXHGB" "WTSPO4YR" 1 0.0797853974260495
"LBX101" "continuous" 493 TRUE "24.2324842670971" "8.69830545490482" "0.0126761846377836" "None" "None" 0.0126761846377836 "LBXHGB" "WTSPO4YR" 1 0.0797853974260495
"URXETL" "continuous" 1053 TRUE "9.04597594968557e-05" "3.28634262327385e-05" "0.0135937931652604" "None" "None" 0.0135937931652604 "LBXHGB" "WTSPH4YR" 1 0.0831163353533062
"DR1TPOTA" "continuous" 3604 TRUE "4.8660754822855e-05" "1.81827581669183e-05" "0.0159470756102865" "None" "None" 0.0159470756102865 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0914364279148989
"LBX183" "continuous" 493 TRUE "17.0082620981535" "6.37190921879345" "0.0161794333331555" "None" "None" 0.0161794333331555 "LBXHGB" "WTSPO4YR" 1 0.0914364279148989
"DR1TPFAT" "continuous" 3604 TRUE "0.00638155092338145" "0.00239227201912372" "0.0162363750503091" "None" "None" 0.0162363750503091 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0914364279148989
"LBX146" "continuous" 492 TRUE "33.4737977894539" "12.7148901605742" "0.0174585707633789" "None" "None" 0.0174585707633789 "LBXHGB" "WTSPO4YR" 1 0.0937913196232116
"DR1TP182" "continuous" 3604 TRUE "0.00697526639496578" "0.00265153981753752" "0.0175310877800396" "None" "None" 0.0175310877800396 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0937913196232116
"URXP14" "continuous" 970 TRUE "-0.00708392614616576" "0.0027202205083001" "0.0185194781059818" "None" "None" 0.0185194781059818 "LBXHGB" "WTMEC4YR" 1 0.0945454053146504
"DR1TM181" "continuous" 3604 TRUE "0.00399761236736529" "0.00153563510701303" "0.0185556402953987" "None" "None" 0.0185556402953987 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.0945454053146504
"LBX177" "continuous" 487 TRUE "19.6157630938579" "7.65341406332887" "0.020162473373709" "None" "None" 0.020162473373709 "LBXHGB" "WTSPO4YR" 1 0.100343472138924
"DR1TKCAL" "continuous" 3604 TRUE "6.78428889773347e-05" "2.67192788162886e-05" "0.0211793817918396" "None" "None" 0.0211793817918396 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.103008811442129
"DR1TMFAT" "continuous" 3604 TRUE "0.00361243570010158" "0.00142953410599423" "0.0217122274325533" "None" "None" 0.0217122274325533 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.103253703790364
"DR1TVB2" "continuous" 3604 TRUE "0.0516959141093716" "0.0206365713635149" "0.0227111697111335" "None" "None" 0.0227111697111335 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.105656311264838
"DR1TTFAT" "continuous" 3604 TRUE "0.0014356925721451" "0.000591857003589748" "0.0266972332146407" "None" "None" 0.0266972332146407 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.121557615062406
"LBX028" "continuous" 217 TRUE "24.7227805619302" "6.15585098189962" "0.0277145996932904" "None" "None" 0.0277145996932904 "LBXHGB" "WTSPO4YR" 1 0.123560923632586
"DR1TM201" "continuous" 3604 TRUE "0.374106226439294" "0.159127760232828" "0.0310486751770442" "None" "None" 0.0310486751770442 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.135600336487499
"LBX074" "continuous" 494 TRUE "12.9819701380882" "5.5931779564794" "0.0329708811815475" "None" "None" 0.0329708811815475 "LBXHGB" "WTSPO4YR" 1 0.141115371457023
"URXEQU" "continuous" 979 TRUE "0.000930707609648349" "0.000403731318465877" "0.0340273927628785" "None" "None" 0.0340273927628785 "LBXHGB" "WTSPH4YR" 1 0.142781608848157
"LBX187" "continuous" 492 TRUE "3.49658387850978" "1.54756801017964" "0.0372810145648319" "None" "None" 0.0372810145648319 "LBXHGB" "WTSPO4YR" 1 0.153425713786039
"DR1TS180" "continuous" 3604 TRUE "0.0128810698966832" "0.00583775350825678" "0.0413907833399037" "None" "None" 0.0413907833399037 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.16653267047293
"LBX170" "continuous" 488 TRUE "5.43636909388025" "2.47240543378784" "0.0420222626427019" "None" "None" 0.0420222626427019 "LBXHGB" "WTSPO4YR" 1 0.16653267047293
"DR1TCAFF" "continuous" 3604 TRUE "0.000830455988506722" "0.000396967396020511" "0.0517545023193028" "None" "None" 0.0517545023193028 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.200881952840256
"LBDRUIU" "continuous" 3153 TRUE "-0.00170951366929915" "0.00082149486980068" "0.0528678435141244" "None" "None" 0.0528678435141244 "LBXHGB" "WTMEC4YR" 1 0.200881952840256
"DR1TM221" "continuous" 3604 TRUE "-0.375211714602069" "0.181982010764481" "0.054856635660128" "None" "None" 0.054856635660128 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.200881952840256
"DR1TZINC" "continuous" 3604 TRUE "0.00553839477364125" "0.00268960678226906" "0.0551339255962351" "None" "None" 0.0551339255962351 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.200881952840256
"URXMOP" "continuous" 1050 TRUE "-0.0108410433578273" "0.00527074071847721" "0.0553833421382014" "None" "None" 0.0553833421382014 "LBXHGB" "WTSPH4YR" 1 0.200881952840256
"LBXVIE" "continuous" 3792 TRUE "0.000204184175505879" "0.000101921859261673" "0.0613476078440802" "None" "None" 0.0613476078440802 "LBXHGB" "WTMEC4YR" 1 0.214498613969052
"DR1TS160" "continuous" 3604 TRUE "0.00623363557759892" "0.00312051328066876" "0.0620172068850981" "None" "None" 0.0620172068850981 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.214498613969052
"DR1TVB1" "continuous" 3604 TRUE "0.0567131021853432" "0.0284055101357123" "0.0621444582527159" "None" "None" 0.0621444582527159 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.214498613969052
"DR1TP183" "continuous" 3604 TRUE "0.0522842530329197" "0.0267938327602189" "0.0676926442772811" "None" "None" 0.0676926442772811 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.229940093259336
"LBXTC2" "continuous" 220 TRUE "0.00708474555689566" "0.00259942266409619" "0.0722133821386952" "None" "None" 0.0722133821386952 "LBXHGB" "WTMEC4YR" 1 0.23896137026197
"DRD370B" "categorical" 1033 TRUE "None" "None" "None" "0.0725817246122807" "None" 0.0725817246122807 "LBXHGB" "WTDR4YR (39 observations are missing weights)" 1 0.23896137026197
"URXP08" "continuous" 985 TRUE "0.000422686454163349" "0.000226412406334293" "0.0792612870415879" "None" "None" 0.0792612870415879 "LBXHGB" "WTSPH4YR" 1 0.256998718589391
"DR1TSELE" "continuous" 3604 TRUE "0.000861141789538108" "0.000469231171221699" "0.0840315168747447" "None" "None" 0.0840315168747447 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.26691136174665
"DR1TCARB" "continuous" 3604 TRUE "0.000381545547198391" "0.00020847400131651" "0.084812956069029" "None" "None" 0.084812956069029 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.26691136174665
"LBXPCB" "continuous" 225 TRUE "0.00457706675433936" "0.00181918287782797" "0.0864799999074587" "None" "None" 0.0864799999074587 "LBXHGB" "WTSPO4YR" 1 0.266965972060439
"DR1TNIAC" "continuous" 3604 TRUE "0.00328908802825803" "0.00181479386584887" "0.0876278381590617" "None" "None" 0.0876278381590617 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.266965972060439
"DR1TSFAT" "continuous" 3604 TRUE "0.00296124001136567" "0.00163920474068597" "0.0885728225060336" "None" "None" 0.0885728225060336 "LBXHGB" "WTDR4YR (45 observations are missing weights)" 1 0.266965972060439
"URXMEP" "continuous" 1050 TRUE "-0.00012339515676281" "7.03263028669114e-05" "0.0973315166391197" "None" "None" 0.0973315166391197 "LBXHGB" "WTSPH4YR" 1 0.289290896677384
"LBXHPE" "continuous" 475 TRUE "-1.97288325440733" "1.13225559667716" "0.0994918817424675" "None" "None" 0.0994918817424675 "LBXHGB" "WTSPO4YR" 1 0.290207824290582
"DR1TACAR" "continuous" 1995 TRUE "9.61637510637779e-05" "4.53704539217326e-05" "0.101396443913037" "None" "None" 0.101396443913037 "LBXHGB" "WTDR4YR" 1 0.290207824290582
"LBD199" "continuous" 271 TRUE "9.68237456634928" "4.57406872896911" "0.10170834963455" "None" "None" 0.10170834963455 "LBXHGB" "WTSPO4YR" 1 0.290207824290582
"DRD370AQ" "continuous" 292 TRUE "-0.0306643639655296" "0.0176732716128904" "0.108312351976323" "None" "None" 0.108312351976323 "LBXHGB" "WTDR4YR (11 observations are missing weights)" 1 0.299622818372418
"LBXLYC" "continuous" 2069 TRUE "0.00371897374341607" "0.0018084089821404" "0.108885319101009" "None" "None" 0.108885319101009 "LBXHGB" "WTMEC4YR" 1 0.299622818372418
"LBXGTC" "continuous" 3517 TRUE "-0.000353706713034676" "0.000209247766678412" "0.109208316976863" "None" "None" 0.109208316976863 "LBXHGB" "WTMEC4YR" 1 0.299622818372418
"LBXF07" "continuous" 223 TRUE "0.0190972135082048" "0.00857572755135361" "0.112320665602556" "None" "None" 0.112320665602556 "LBXHGB" "WTSPO4YR" 1 0.301827337846521
"LBXFOL" "continuous" 3804 TRUE "0.00389370370199379" "0.00233387862322914" "0.11356037441278" "None" "None" 0.11356037441278 "LBXHGB" "WTMEC4YR" 1 0.301827337846521
"LBXRPL" "continuous" 3301 TRUE "0.0180952180669487" "0.0108729076652" "0.114384852029338" "None" "None" 0.114384852029338 "LBXHGB" "WTMEC4YR" 1 0.301827337846521
"URXP01" "continuous" 560 TRUE "4.72487016202857e-06" "2.35830775308114e-06" "0.115653465903807" "None" "None" 0.115653465903807 "LBXHGB" "WTSPH4YR" 1 0.301827337846521
"LBXLUZ" "continuous" 2074 TRUE "0.00897268103055415" "0.00462976019024198" "0.124657164724582" "None" "None" 0.124657164724582 "LBXHGB" "WTMEC4YR" 1 0.321405219892295
"URXMC1" "continuous" 568 TRUE "0.010161865200129" "0.00553307900014178" "0.140155580613407" "None" "None" 0.140155580613407 "LBXHGB" "WTSPH4YR" 1 0.339543313928926
"LBXF06" "continuous" 220 TRUE "0.0205072535928758" "0.0103087995668122" "0.140780095734541" "None" "None" 0.140780095734541 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"LBX118" "continuous" 494 TRUE "8.99861188553818" "5.83495709135507" "0.141436161996699" "None" "None" 0.141436161996699 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"URXUCO" "continuous" 997 TRUE "-0.120175169594453" "0.0779313473837383" "0.141466489738785" "None" "None" 0.141466489738785 "LBXHGB" "WTSHM4YR" 1 0.339543313928926
"LBXD03" "continuous" 220 TRUE "0.00585915674829246" "0.00296074691447038" "0.142203229360446" "None" "None" 0.142203229360446 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"LBXF02" "continuous" 225 TRUE "0.0221917186471039" "0.011264032783502" "0.143427311741854" "None" "None" 0.143427311741854 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"LBX099" "continuous" 487 TRUE "12.6893339967498" "8.30400195220482" "0.144880270878703" "None" "None" 0.144880270878703 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"LBXF01" "continuous" 225 TRUE "0.0239816286769789" "0.012366294289288" "0.147816830507462" "None" "None" 0.147816830507462 "LBXHGB" "WTSPO4YR" 1 0.339543313928926
"URXMNM" "continuous" 568 TRUE "0.00569507172046783" "0.00318753567816811" "0.148525688521772" "None" "None" 0.148525688521772 "LBXHGB" "WTSPH4YR" 1 0.339543313928926
"LBXTCD" "continuous" 223 TRUE "0.0271940274818206" "0.0140884653726023" "0.149132145091064" "None" "None" 0.149132145091064 "LBXHGB" "WTMEC4YR" 1 0.339543313928926
"DR1TATOC" "continuous" 1995 TRUE "0.00907183508110126" "0.00509973223440917" "0.149878991351077" "None" "None" 0.149878991351077 "LBXHGB" "WTDR4YR" 1 0.339543313928926
