"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXIRN" "continuous" 1505 TRUE 0.00576979178524441 0.000753634379117205 4.55692241695021e-07 "None" "None" 4.55692241695021e-07 "LBXHGB" "WTMEC2YR" 1.91390741511909e-05 1.91390741511909e-05
"LBXVIA" "continuous" 2998 TRUE 0.0246130795691055 0.00474002148264249 6.13076320891305e-05 "None" "None" 6.13076320891305e-05 "LBXHGB" "WTMEC2YR" 0.00257492054774348 0.00128746027387174
"DR1TPROT" "continuous" 3669 TRUE 0.0028353907685938 0.000979255839324542 0.00963954857306613 "None" "None" 0.00963954857306613 "LBXHGB" "WTDRD1" 0.404861040068777 0.134953680022926
"DR1TCALC" "continuous" 3669 TRUE 0.000153348975448783 5.8264307296485e-05 0.0169214989752802 "None" "None" 0.0169214989752802 "LBXHGB" "WTDRD1" 0.710702956961767 0.141321168929161
"VITAMIN_B_12_mcg" "continuous" 3874 TRUE 0.0010325050421849 0.000398877203029646 0.0185409039668385 "None" "None" 0.0185409039668385 "LBXHGB" "WTMEC2YR" 0.778717966607217 0.141321168929161
"DR1TM181" "continuous" 3669 TRUE 0.00568312254505448 0.00223052352440319 0.0201887384184516 "None" "None" 0.0201887384184516 "LBXHGB" "WTDRD1" 0.847927013574966 0.141321168929161
"DR1TPOTA" "continuous" 3669 TRUE 6.15387299094937e-05 2.51171961423038e-05 0.0247402084778888 "None" "None" 0.0247402084778888 "LBXHGB" "WTDRD1" 1 0.142434509426078
"DR1TPHOS" "continuous" 3669 TRUE 0.000147779051602649 6.14390913781039e-05 0.0271303827478245 "None" "None" 0.0271303827478245 "LBXHGB" "WTDRD1" 1 0.142434509426078
"LBX128" "continuous" 207 TRUE 123.396296944069 33.8800946348199 0.035688008070714 "None" "None" 0.035688008070714 "LBXHGB" "WTSC2YR" 1 0.165812468670753
"DR1TMAGN" "continuous" 3669 TRUE 0.000623382545001277 0.000280769769045501 0.0394791592073223 "None" "None" 0.0394791592073223 "LBXHGB" "WTDRD1" 1 0.165812468670753
"DR1TFIBE" "continuous" 3669 TRUE 0.00783856375617088 0.00422172760953355 0.0797943275056087 "None" "None" 0.0797943275056087 "LBXHGB" "WTDRD1" 1 0.304669250475961
"LBX105" "continuous" 209 TRUE 25.2158290538761 10.1113774154014 0.0881870746258272 "None" "None" 0.0881870746258272 "LBXHGB" "WTSC2YR" 1 0.308654761190395
"URXOP3" "continuous" 502 TRUE -0.00236490367105605 0.00132731646833151 0.149384901254014 "None" "None" 0.149384901254014 "LBXHGB" "WTSC2YR" 1 0.474216661861174
"LBX101" "continuous" 211 TRUE 8.87399721408511 4.89841078343903 0.1677208455706 "None" "None" 0.1677208455706 "LBXHGB" "WTSC2YR" 1 0.474216661861174
"DR1TPFAT" "continuous" 3669 TRUE 0.00443046205854985 0.00309452912032542 0.169363093521848 "None" "None" 0.169363093521848 "LBXHGB" "WTDRD1" 1 0.474216661861174
"LBXMIR" "continuous" 226 TRUE 52.3341906644213 32.9576463218151 0.187498415982334 "None" "None" 0.187498415982334 "LBXHGB" "WTSB2YR" 1 0.492183341953627
"LBX167" "continuous" 205 TRUE 79.5529986544335 53.3439725287766 0.232677431035852 "None" "None" 0.232677431035852 "LBXHGB" "WTSC2YR" 1 0.54315912550657
"LBX178" "continuous" 207 TRUE -55.0035570329417 37.7787158340871 0.241430076837723 "None" "None" 0.241430076837723 "LBXHGB" "WTSC2YR" 1 0.54315912550657
"DR1TP182" "continuous" 3669 TRUE 0.0041706913660857 0.00347572178129858 0.245714842491067 "None" "None" 0.245714842491067 "LBXHGB" "WTDRD1" 1 0.54315912550657
"URXOP5" "continuous" 491 TRUE -0.012086585922961 0.010237819902501 0.303175807550149 "None" "None" 0.303175807550149 "LBXHGB" "WTSC2YR" 1 0.635928554952401
"LBX138" "continuous" 211 TRUE 3.86948694867701 3.31587021280338 0.327550284102871 "None" "None" 0.327550284102871 "LBXHGB" "WTSC2YR" 1 0.635928554952401
"RIBOFLAVIN_mg" "continuous" 3874 TRUE 0.00214529565637581 0.00215690324831306 0.333105433546496 "None" "None" 0.333105433546496 "LBXHGB" "WTMEC2YR" 1 0.635928554952401
"VITAMIN_C_mg" "continuous" 3874 TRUE 7.10396422254591e-05 7.45061277564119e-05 0.352979899618364 "None" "None" 0.352979899618364 "LBXHGB" "WTMEC2YR" 1 0.644571990607447
