"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXIRN" "continuous" 9729 TRUE "0.00815745633115205" "0.000410996586323899" "1.07632377391824e-12" "None" "None" 1.07632377391824e-12 "LBXHGB" "WTMEC4YR" 3.35813017462491e-10 3.35813017462491e-10
"DR1TM221" "continuous" 9397 TRUE "-0.0606155837101215" "0.00593347219169523" "2.03904272868499e-08" "None" "None" 2.03904272868499e-08 "LBXHGB" "WTDR4YR (16 observations are missing weights)" 6.36181331349717e-06 3.18090665674858e-06
"LBXVIA" "continuous" 9731 TRUE "0.00901656327393721" "0.000954687937025476" "6.04728273635737e-08" "None" "None" 6.04728273635737e-08 "LBXHGB" "WTMEC4YR" 1.8867522137435e-05 6.28917404581166e-06
"LBXBCD" "continuous" 9738 TRUE "0.294394139702564" "0.0388074540855787" "1.09719270626231e-06" "None" "None" 1.09719270626231e-06 "LBXHGB" "WTMEC4YR" 0.000342324124353841 8.55810310884603e-05
"LBXVIE" "continuous" 9700 TRUE "0.000165360685816772" "2.8825055340347e-05" "3.06079247622147e-05" "None" "None" 3.06079247622147e-05 "LBXHGB" "WTMEC4YR" 0.00954967252581098 0.0019099345051622
"URXUCD" "continuous" 2998 TRUE "0.0486154085885643" "0.00876204942378868" "4.40840317534568e-05" "None" "None" 4.40840317534568e-05 "LBXHGB" "WTSHM4YR" 0.0137542179070785 0.00229236965117976
"URXEQU" "continuous" 3052 TRUE "7.81956726563622e-05" "1.55584869839279e-05" "0.000124207326383632" "None" "None" 0.000124207326383632 "LBXHGB" "WTSPH4YR" 0.038752685831693 0.00553609797595615
"LBXVCF" "continuous" 915 TRUE "7.42914923275332e-05" "1.40163948725661e-05" "0.000493643006372641" "None" "None" 0.000493643006372641 "LBXHGB" "WTMEC4YR" 0.154016617988264 0.019154788436132
"COPPER_mg" "continuous" 9723 TRUE "0.0739861608166761" "0.0172126344237351" "0.000552541974119193" "None" "None" 0.000552541974119193 "LBXHGB" "WTMEC4YR" 0.172393095925188 0.019154788436132
"SELENIUM_mcg" "continuous" 9724 TRUE "0.00110512754636769" "0.000294053790745023" "0.00171758871683106" "None" "None" 0.00171758871683106 "LBXHGB" "WTMEC4YR" 0.535887679651291 0.0535887679651292
"LBXME" "continuous" 6370 TRUE "0.00954743540471004" "0.00258350340670487" "0.00196075554214731" "None" "None" 0.00196075554214731 "LBXHGB" "WTMEC4YR" 0.61175572914996 0.0556141571954509
"LBXGTC" "continuous" 9113 TRUE "0.00045734532814669" "0.000130396578651661" "0.00291794945011815" "None" "None" 0.00291794945011815 "LBXHGB" "WTMEC4YR" 0.910400228436863 0.067636464233903
"PHOSPHORUS_mg" "continuous" 9734 TRUE "0.000415002112352321" "0.000118637859793939" "0.0029757284653683" "None" "None" 0.0029757284653683 "LBXHGB" "WTMEC4YR" 0.92842728119491 0.067636464233903
"URXUCO" "continuous" 3123 TRUE "-0.289980923965401" "0.0831194711698419" "0.00303496954895719" "None" "None" 0.00303496954895719 "LBXHGB" "WTSHM4YR" 0.946910499274642 0.067636464233903
"LBXTO1" "continuous" 6358 TRUE "-0.00125674611885072" "0.000366539525288828" "0.00344520623425219" "None" "None" 0.00344520623425219 "LBXHGB" "WTMEC4YR" 1 0.0716602896724454
"URXOP3" "continuous" 2686 TRUE "-0.00115635302591552" "0.000346561457724579" "0.00418342603760853" "None" "None" 0.00418342603760853 "LBXHGB" "WTSPP4YR" 1 0.0815768077333664
"LBXF02" "continuous" 2424 TRUE "0.0262333140291474" "0.00802906896060926" "0.00484155877250234" "None" "None" 0.00484155877250234 "LBXHGB" "WTSPO4YR" 1 0.0888568433541606
"URXMHP" "continuous" 3265 TRUE "-0.00120203709919603" "0.000372675772299256" "0.00528742735233379" "None" "None" 0.00528742735233379 "LBXHGB" "WTSPH4YR" 1 0.0916487407737857
"LBXWBF" "continuous" 1499 TRUE "-0.0234092518438814" "0.0075233877172392" "0.00671566669636648" "None" "None" 0.00671566669636648 "LBXHGB" "WTMEC4YR" 1 0.110278316277176
"LBXF09" "continuous" 1040 TRUE "0.0659444833066884" "0.0100549660614666" "0.00720895121897133" "None" "None" 0.00720895121897133 "LBXHGB" "WTSPO4YR" 1 0.112459639015953
"VITAMIN_A_IU" "continuous" 9712 TRUE "9.71924171283533e-06" "3.2414020238768e-06" "0.00850663238368531" "None" "None" 0.00850663238368531 "LBXHGB" "WTMEC4YR" 1 0.124915354952645
"MAGNESIUM_mg" "continuous" 9716 TRUE "0.000311109127090151" "0.000104337269133863" "0.00880813400307114" "None" "None" 0.00880813400307114 "LBXHGB" "WTMEC4YR" 1 0.124915354952645
"LISINOPRIL" "categorical" 9744 TRUE "None" "None" "None" "0.0101570457014838" "None" 0.0101570457014838 "LBXHGB" "WTMEC4YR" 1 0.135056922874887
"URXOP2" "continuous" 2688 TRUE "0.000810486487185143" "0.000279246422635291" "0.010388994067299" "None" "None" 0.010388994067299 "LBXHGB" "WTSPP4YR" 1 0.135056922874887
"URXDMA" "continuous" 3110 TRUE "0.000132939057515515" "4.86363270831937e-05" "0.014730054156731" "None" "None" 0.014730054156731 "LBXHGB" "WTSPH4YR" 1 0.183831075876003
"DR1TP205" "continuous" 9397 TRUE "-0.19138766958987" "0.0707755040505197" "0.0156384540130586" "None" "None" 0.0156384540130586 "LBXHGB" "WTDR4YR (16 observations are missing weights)" 1 0.187661448156703
"LBXF10" "continuous" 2372 TRUE "0.00549584384409704" "0.00207723311144609" "0.0176211988573891" "None" "None" 0.0176211988573891 "LBXHGB" "WTSPO4YR" 1 0.197481876348749
"SMD080" "continuous" 1644 TRUE "0.0095082051426932" "0.00360117463470061" "0.0178179159943643" "None" "None" 0.0178179159943643 "LBXHGB" "WTMEC4YR" 1 0.197481876348749
"LBDRUIU" "continuous" 6370 TRUE "0.00116386758350554" "0.00044325839469394" "0.0183556872247235" "None" "None" 0.0183556872247235 "LBXHGB" "WTMEC4YR" 1 0.197481876348749
"LBXRBF" "continuous" 9729 TRUE "-0.000413648281621234" "0.000159597117847071" "0.0196643956781147" "None" "None" 0.0196643956781147 "LBXHGB" "WTMEC4YR" 1 0.204509715052393
"FOLIC_ACID_mcg" "continuous" 9703 TRUE "0.000192323511841044" "7.53281564468457e-05" "0.021267685502051" "None" "None" 0.021267685502051 "LBXHGB" "WTMEC4YR" 1 0.214048963762578
"LBXVAR" "continuous" 6370 TRUE "0.006607380503142" "0.00261920148476408" "0.0226175540837267" "None" "None" 0.0226175540837267 "LBXHGB" "WTMEC4YR" 1 0.220521152316335
"RIBOFLAVIN_mg" "continuous" 9713 TRUE "0.00229576008446284" "0.000921180014004992" "0.0240487623856027" "None" "None" 0.0240487623856027 "LBXHGB" "WTMEC4YR" 1 0.227370117100244
"LBXBPB" "continuous" 9738 TRUE "0.0262835251029114" "0.0107106874451868" "0.0259664614569631" "None" "None" 0.0259664614569631 "LBXHGB" "WTMEC4YR" 1 0.238280469840367
"URXUBE" "continuous" 3123 TRUE "8.56194661981292" "3.55700690479629" "0.0285153539484288" "None" "None" 0.0285153539484288 "LBXHGB" "WTSHM4YR" 1 0.254194012340279
"supplement_count" "continuous" 9733 TRUE "0.0231558916318553" "0.00998571565615081" "0.0339582729402631" "None" "None" 0.0339582729402631 "LBXHGB" "WTMEC4YR" 1 0.294305032148947
"LBX157" "continuous" 3079 TRUE "10.1150877294043" "4.48066513293424" "0.0383082590185395" "None" "None" 0.0383082590185395 "LBXHGB" "WTSPO4YR" 1 0.31114139683067
"URXP08" "continuous" 3020 TRUE "-0.000379278351798845" "0.000168543214589217" "0.03884827986046" "None" "None" 0.03884827986046 "LBXHGB" "WTSPH4YR" 1 0.31114139683067
"LBXTC2" "continuous" 2377 TRUE "0.00435431196547103" "0.00195783504565146" "0.0408911313021388" "None" "None" 0.0408911313021388 "LBXHGB" "WTMEC4YR" 1 0.31114139683067
"LBXVDB" "continuous" 1045 TRUE "-0.00478013388633745" "0.00208856589466975" "0.0410267051011017" "None" "None" 0.0410267051011017 "LBXHGB" "WTMEC4YR" 1 0.31114139683067
