"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXIRN" "continuous" 4010 TRUE 0.0111810467639938 0.000608606485096456 4.15095987657528e-13 "None" "None" 4.15095987657528e-13 "LBXHGB" "WTMEC2YR" 7.47172777783551e-12 7.47172777783551e-12
"LBXBCD" "continuous" 10602 TRUE 0.257937271239848 0.028083682392275 5.30594470958331e-08 "None" "None" 5.30594470958331e-08 "LBXHGB" "WTMEC2YR" 9.55070047724997e-07 4.77535023862498e-07
"LBXVIE" "continuous" 10513 TRUE 0.000203596829081668 2.37734881542956e-05 1.42616150438774e-07 "None" "None" 1.42616150438774e-07 "LBXHGB" "WTMEC2YR" 2.56709070789793e-06 8.55696902632644e-07
"LBXVIA" "continuous" 10513 TRUE 0.00861430135724803 0.0012355241147594 2.25039244144426e-06 "None" "None" 2.25039244144426e-06 "LBXHGB" "WTMEC2YR" 4.05070639459966e-05 1.01267659864992e-05
"LBXGTC" "continuous" 10486 TRUE 0.000610725432804418 0.000123052982217213 0.000118379704649715 "None" "None" 0.000118379704649715 "LBXHGB" "WTMEC2YR" 0.00213083468369487 0.000426166936738974
"PHOSPHORUS_mg" "continuous" 10612 TRUE 0.000549168627174144 0.000135869165969509 0.000846776637135289 "None" "None" 0.000846776637135289 "LBXHGB" "WTMEC2YR" 0.0152419794684352 0.00254032991140587
"COPPER_mg" "continuous" 10610 TRUE 0.0399550329712619 0.0101128618065303 0.00103129447325079 "None" "None" 0.00103129447325079 "LBXHGB" "WTMEC2YR" 0.0185633005185142 0.00265190007407346
"LBXVCF" "continuous" 3741 TRUE -0.000176712030307891 8.98102548281778e-05 0.0656473190786443 "None" "None" 0.0656473190786443 "LBXHGB" "WTMEC2YR" 1 0.14770646792695
"URXUCO" "continuous" 3485 TRUE -0.0246036317073067 0.0129360627100594 0.0742622982570823 "None" "None" 0.0742622982570823 "LBXHGB" "WTSA2YR" 1 0.148524596514165
"URXEQU" "continuous" 3385 TRUE -8.49892660744073e-05 4.96320290557675e-05 0.105004036143664 "None" "None" 0.105004036143664 "LBXHGB" "WTSB2YR" 1 0.189007265058595
"URXMHP" "continuous" 3396 TRUE -0.000903486810811237 0.000546087136393989 0.116375095520285 "None" "None" 0.116375095520285 "LBXHGB" "WTSB2YR" 1 0.190431974487739
"LBXTO1" "continuous" 3270 TRUE 0.00102839878629918 0.000559595212641403 0.16340263439857 "None" "None" 0.16340263439857 "LBXHGB" "WTMEC2YR" 1 0.227237169404815
"LBXF02" "continuous" 1515 TRUE 0.0199353865779823 0.0108735575712707 0.164115733459033 "None" "None" 0.164115733459033 "LBXHGB" "WTSC2YR" 1 0.227237169404815
"SELENIUM_mcg" "continuous" 10612 TRUE 0.000250454301364514 0.000201047366371455 0.229753317621534 "None" "None" 0.229753317621534 "LBXHGB" "WTMEC2YR" 1 0.295397122656258
"LBXME" "continuous" 3273 TRUE 0.00229028698664891 0.00408771851112803 0.614402448209326 "None" "None" 0.614402448209326 "LBXHGB" "WTMEC2YR" 1 0.737282937851191
"URXOP3" "continuous" 1686 TRUE 0.000487116507274522 0.000988000545312024 0.655821391636434 "None" "None" 0.655821391636434 "LBXHGB" "WTSC2YR" 1 0.737799065590988
"URXUCD" "continuous" 3473 TRUE -0.0171612439551291 0.0537285554574368 0.753309944388109 "None" "None" 0.753309944388109 "LBXHGB" "WTSA2YR" 1 0.797622294057998
"DR1TM221" "continuous" 10198 TRUE 0.00707590403394708 0.111873323661384 0.950305771688712 "None" "None" 0.950305771688712 "LBXHGB" "WTDRD1" 1 0.950305771688712
