"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"URXOP3" "continuous" 1264 TRUE "2.03367438403082e-06" "1.23103410302219e-07" "1.78197054197053e-11" "None" "None" 1.78197054197053e-11 "logLBXB12" "WTSPP4YR" 3.688679021879e-09 3.688679021879e-09
"LBXFOL" "continuous" 3745 TRUE "0.0115739688203133" "0.000876130873583216" "5.05278186419675e-10" "None" "None" 5.05278186419675e-10 "logLBXB12" "WTMEC4YR" 1.04592584588873e-07 5.22962922944363e-08
"LBXVIE" "continuous" 3699 TRUE "0.000239772975148145" "3.34344582321311e-05" "2.22249987346632e-06" "None" "None" 2.22249987346632e-06 "logLBXB12" "WTMEC4YR" 0.000460057473807527 0.000153352491269176
"LBXRBF" "continuous" 3737 TRUE "0.000793883065095104" "0.000121045087310092" "6.58325853023345e-06" "None" "None" 6.58325853023345e-06 "logLBXB12" "WTMEC4YR" 0.00136273451575832 0.000340683628939581
"URXMZP" "continuous" 1043 TRUE "-0.000333923525259079" "6.52376766107089e-05" "0.000103116018478185" "None" "None" 0.000103116018478185 "logLBXB12" "WTSPH4YR" 0.0213450158249843 0.00426900316499686
"LBXGHC" "continuous" 483 TRUE "-2.14661757862833" "0.444395170733619" "0.000184527842533538" "None" "None" 0.000184527842533538 "logLBXB12" "WTSPO4YR" 0.0381972634044423 0.00599893007157868
"DR1TVB2" "continuous" 3703 TRUE "0.0392178023455536" "0.00819779633087476" "0.000202862369570294" "None" "None" 0.000202862369570294 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 0.0419925105010508 0.00599893007157868
"LBXPDT" "continuous" 486 TRUE "0.0267830783874759" "0.00598115951918044" "0.00038054118957282" "None" "None" 0.00038054118957282 "logLBXB12" "WTSPO4YR" 0.0787720262415737 0.00984650328019672
"DR1TCALC" "continuous" 3703 TRUE "6.25302889541673e-05" "1.56318803700105e-05" "0.00103164079113352" "None" "None" 0.00103164079113352 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 0.213549643764639 0.023727738196071
"LBXGTC" "continuous" 3433 TRUE "-0.000423206480003519" "0.000109403407959948" "0.00136173093180191" "None" "None" 0.00136173093180191 "logLBXB12" "WTMEC4YR" 0.281878302882996 0.0281878302882996
"DR1TCOPP" "continuous" 3703 TRUE "-0.0616727308361892" "0.0174294247007988" "0.00273250988404989" "None" "None" 0.00273250988404989 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 0.565629545998326 0.0514208678180297
"LBXBPB" "continuous" 3744 TRUE "-0.0230710811750644" "0.0068374001517881" "0.0038645275412387" "None" "None" 0.0038645275412387 "logLBXB12" "WTMEC4YR" 0.799957201036412 0.0666631000863677
