"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXRBF" "continuous" 3999 TRUE 0.000753416118378362 0.00010452385707855 1.46393275802479e-06 "None" "None" 1.46393275802479e-06 "logLBXB12" "WTMEC2YR" 1.90311258543222e-05 1.90311258543222e-05
"LBXFOL" "continuous" 4010 TRUE 0.00592542383985271 0.000924846736298142 6.50300825138375e-06 "None" "None" 6.50300825138375e-06 "logLBXB12" "WTMEC2YR" 8.45391072679887e-05 4.22695536339944e-05
"DR1TVB2" "continuous" 4038 TRUE 0.0733106182806537 0.0135422295848038 4.65727761618601e-05 "None" "None" 4.65727761618601e-05 "logLBXB12" "WTDRD1" 0.000605446090104181 0.000193259779717788
"DR1TCALC" "continuous" 4038 TRUE 0.000129075291060528 2.43795039128453e-05 5.94645476054733e-05 "None" "None" 5.94645476054733e-05 "logLBXB12" "WTDRD1" 0.000773039118871153 0.000193259779717788
"LBXVIE" "continuous" 2827 TRUE 0.000245158968102952 4.97487703498241e-05 0.000127444761557988 "None" "None" 0.000127444761557988 "logLBXB12" "WTMEC2YR" 0.00165678190025384 0.000331356380050769
"LBXCBC" "continuous" 2713 TRUE 0.0656113082301736 0.0149503012456757 0.000400849747734556 "None" "None" 0.000400849747734556 "logLBXB12" "WTMEC2YR" 0.00521104672054923 0.000868507786758205
"LBXBPB" "continuous" 4035 TRUE -0.0292234154622659 0.0121351588344922 0.0276657787056224 "None" "None" 0.0276657787056224 "logLBXB12" "WTMEC2YR" 0.359655123173091 0.0513793033104415
"LBXGTC" "continuous" 2821 TRUE -0.000266581550382437 0.000120456801317283 0.0408579088736271 "None" "None" 0.0408579088736271 "logLBXB12" "WTMEC2YR" 0.531152815357152 0.0663941019196441
"URXMZP" "continuous" 1009 TRUE -0.000109752600791035 5.37210813060007e-05 0.0568723769874881 "None" "None" 0.0568723769874881 "logLBXB12" "WTSB2YR" 0.739340900837346 0.0821489889819273
"DR1TCOPP" "continuous" 4038 TRUE -0.0291325705014351 0.0182960027118161 0.129741639150384 "None" "None" 0.129741639150384 "logLBXB12" "WTDRD1" 1 0.16210385565338
"URXOP3" "continuous" 492 TRUE 0.00140212802148675 0.000695446709566789 0.137164800937475 "None" "None" 0.137164800937475 "logLBXB12" "WTSC2YR" 1 0.16210385565338
"LBXGHC" "continuous" 220 TRUE 3.99013714274871 7.96768769751403 0.650953351985673 "None" "None" 0.650953351985673 "logLBXB12" "WTSB2YR" 1 0.703279151005804
"LBXPDT" "continuous" 221 TRUE -1.266648669883 3.02161215940775 0.703279151005804 "None" "None" 0.703279151005804 "logLBXB12" "WTSB2YR" 1 0.703279151005804
