"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"supplement_count" "continuous" 9568 TRUE "0.0499509587949684" "0.00319779273249036" "4.15446263241886e-11" "None" "None" 4.15446263241886e-11 "logLBXB12" "WTMEC4YR" 1.32527357974162e-08 1.32527357974162e-08
"LBXRBF" "continuous" 9562 TRUE "0.000843021700943724" "7.00154690666424e-05" "1.95939564802709e-09" "None" "None" 1.95939564802709e-09 "logLBXB12" "WTMEC4YR" 6.25047211720643e-07 2.72359221524042e-07
"FOLIC_ACID_mcg" "continuous" 9564 TRUE "0.000292820106971148" "2.50927500217564e-05" "3.08022866840825e-09" "None" "None" 3.08022866840825e-09 "logLBXB12" "WTMEC4YR" 9.82592945222231e-07 2.72359221524042e-07
"COPPER_mg" "continuous" 9571 TRUE "0.0719645574021267" "0.00629636915533" "4.15291463394866e-09" "None" "None" 4.15291463394866e-09 "logLBXB12" "WTMEC4YR" 1.32477976822962e-06 2.72359221524042e-07
"LBXGTC" "continuous" 8946 TRUE "-0.000521400944713662" "4.57064544851281e-05" "4.26895331542385e-09" "None" "None" 4.26895331542385e-09 "logLBXB12" "WTMEC4YR" 1.36179610762021e-06 2.72359221524042e-07
"DR1TCALC" "continuous" 9563 TRUE "0.000109171435154296" "9.81507952238021e-06" "6.12907307232941e-09" "None" "None" 6.12907307232941e-09 "logLBXB12" "WTDR4YR (16 observations are missing weights)" 1.95517431007308e-06 3.2586238501218e-07
"DR1TVB2" "continuous" 9563 TRUE "0.0587605074102698" "0.00546417675037789" "9.90184706067494e-09" "None" "None" 9.90184706067494e-09 "logLBXB12" "WTDR4YR (16 observations are missing weights)" 3.15868921235531e-06 4.51241316050758e-07
"LBXFOL" "continuous" 9573 TRUE "0.0118406819672048" "0.00112840010501219" "1.39982908799541e-08" "None" "None" 1.39982908799541e-08 "logLBXB12" "WTMEC4YR" 4.46545479070536e-06 5.5818184883817e-07
"LBXVIE" "continuous" 9509 TRUE "0.000133606933162234" "1.33071852837956e-05" "2.59761333488035e-08" "None" "None" 2.59761333488035e-08 "logLBXB12" "WTMEC4YR" 8.28638653826832e-06 9.20709615363146e-07
"DR1TPHOS" "continuous" 9563 TRUE "8.48775934848966e-05" "9.22619866281225e-06" "8.65506047128246e-08" "None" "None" 8.65506047128246e-08 "logLBXB12" "WTDR4YR (16 observations are missing weights)" 2.7609642903391e-05 2.7609642903391e-06
