"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"supplement_count" "continuous" 10131 TRUE "0.0656458985933096" "0.00341554536281222" "5.72890278336727e-13" "None" "None" 5.72890278336727e-13 "logLBXB12" "WTMEC2YR" 3.38005264218669e-11 3.38005264218669e-11
"LBXRBF" "continuous" 10068 TRUE "0.00106272206321868" "5.85187115789433e-05" "1.43954545868771e-12" "None" "None" 1.43954545868771e-12 "logLBXB12" "WTMEC2YR" 8.49331820625751e-11 4.24665910312875e-11
"LBXCBC" "continuous" 9605 TRUE "0.0714617279271357" "0.00538273355291759" "2.11277316783186e-10" "None" "None" 2.11277316783186e-10 "logLBXB12" "WTMEC2YR" 1.24653616902079e-08 4.15512056340265e-09
"LBXVIE" "continuous" 10027 TRUE "0.000175018754205602" "1.3710709448007e-05" "3.88677303414475e-10" "None" "None" 3.88677303414475e-10 "logLBXB12" "WTMEC2YR" 2.2931960901454e-08 5.73299022536351e-09
"LBXBEC" "continuous" 10027 TRUE "0.00460332240488863" "0.000379642909862529" "8.58136818011219e-10" "None" "None" 8.58136818011219e-10 "logLBXB12" "WTMEC2YR" 5.06300722626619e-08 1.01260144525324e-08
"LBXCOT" "continuous" 10106 TRUE "-0.000312715124985408" "2.94267031732943e-05" "6.30444646628569e-09" "None" "None" 6.30444646628569e-09 "logLBXB12" "WTMEC2YR" 3.71962341510856e-07 6.19937235851426e-08
"DSDCOUNT" "continuous" 10135 TRUE "0.0579016013758389" "0.00573708938642909" "1.35257056865253e-08" "None" "None" 1.35257056865253e-08 "logLBXB12" "WTMEC2YR" 7.98016635504991e-07 1.14002376500713e-07
"LBXRST" "continuous" 9662 TRUE "0.123318081916819" "0.0132547586833657" "4.4118018418404e-08" "None" "None" 4.4118018418404e-08 "logLBXB12" "WTMEC2YR" 2.60296308668584e-06 3.2537038583573e-07
"DR1TVB2" "continuous" 10140 TRUE "0.0573482852263241" "0.00676514572389734" "1.64434735051588e-07" "None" "None" 1.64434735051588e-07 "logLBXB12" "WTDRD1" 9.70164936804371e-06 1.07796104089375e-06
"LBXVID" "continuous" 10139 TRUE "0.00747984178060165" "0.000895865681421684" "2.0300032193036e-07" "None" "None" 2.0300032193036e-07 "logLBXB12" "WTMEC2YR" 1.19770189938912e-05 1.19770189938912e-06
"DR1TCALC" "continuous" 10140 TRUE "0.000118160549841191" "1.49217817971497e-05" "4.19364211575179e-07" "None" "None" 4.19364211575179e-07 "logLBXB12" "WTDRD1" 2.47424884829356e-05 2.24931713481232e-06
"URXMZP" "continuous" 3272 TRUE "-2.77197401110647e-05" "3.54107202369416e-06" "4.90007422385336e-07" "None" "None" 4.90007422385336e-07 "logLBXB12" "WTSB2YR" 2.89104379207348e-05 2.40920316006124e-06
"LBXGTC" "continuous" 10000 TRUE "-0.000589672538278869" "7.60199603768995e-05" "5.54247822682715e-07" "None" "None" 5.54247822682715e-07 "logLBXB12" "WTMEC2YR" 3.27006215382802e-05 2.51543242602155e-06
"DR1TVB6" "continuous" 10140 TRUE "0.0566661734363443" "0.00758815876490042" "9.19950458971751e-07" "None" "None" 9.19950458971751e-07 "logLBXB12" "WTDRD1" 5.42770770793333e-05 3.87693407709524e-06
"DR1TVB1" "continuous" 10140 TRUE "0.057146001843613" "0.00858555821729239" "4.05192505168099e-06" "None" "None" 4.05192505168099e-06 "logLBXB12" "WTDRD1" 0.000239063578049178 1.59375718699452e-05
"SMD410" "categorical" 10136 TRUE "None" "None" "None" "4.63678928648293e-06" "None" 4.63678928648293e-06 "logLBXB12" "WTMEC2YR" 0.000273570567902493 1.70981604939058e-05
"LBXRPL" "continuous" 9812 TRUE "0.0308195435678714" "0.00476184874829994" "5.74045328545102e-06" "None" "None" 5.74045328545102e-06 "logLBXB12" "WTMEC2YR" 0.00033868674384161 1.99227496377418e-05
"DR1TIRON" "continuous" 10140 TRUE "0.00588410377548755" "0.000945422841027818" "9.25725358308634e-06" "None" "None" 9.25725358308634e-06 "logLBXB12" "WTDRD1" 0.000546177961402094 2.88407567793863e-05
"DR1TPOTA" "continuous" 10140 TRUE "4.3434391761835e-05" "6.98177399469057e-06" "9.30532776065668e-06" "None" "None" 9.30532776065668e-06 "logLBXB12" "WTDRD1" 0.000549014337878744 2.88407567793863e-05
"DR1TPHOS" "continuous" 10140 TRUE "8.65680975461725e-05" "1.39723242754974e-05" "9.77652772182586e-06" "None" "None" 9.77652772182586e-06 "logLBXB12" "WTDRD1" 0.000576815135587725 2.88407567793863e-05
"DR1TMAGN" "continuous" 10140 TRUE "0.000444105985034554" "7.28498315867794e-05" "1.18711565949193e-05" "None" "None" 1.18711565949193e-05 "logLBXB12" "WTDRD1" 0.00070039823910024 3.33522971000114e-05
