Variable	category (group)
URXUP8	perchlorate
URXUP8CA	perchlorate
LBXWBF	volatile compounds
LBXWCF	volatile compounds
LBXWBM	volatile compounds
LBXWCM	volatile compounds
LBXWME	volatile compounds
LBXV1A	volatile compounds
LBXV1D	volatile compounds
LBXV1E	volatile compounds
LBXV2A	volatile compounds
LBXV2C	volatile compounds
LBXV2T	volatile compounds
LBXV3B	volatile compounds
LBXV4A	volatile compounds
LBXV4C	volatile compounds
LBXV4T	volatile compounds
LBXVBF	volatile compounds
LBXVBM	volatile compounds
LBXVBZ	volatile compounds
LBXVCB	volatile compounds
LBXVCF	volatile compounds
LBXVCM	volatile compounds
LBXVCT	volatile compounds
LBXVDB	volatile compounds
LBXVDM	volatile compounds
LBXVDP	volatile compounds
LBXVEB	volatile compounds
LBXVHE	volatile compounds
LBXVMC	volatile compounds
LBXVME	volatile compounds
LBXVOX	volatile compounds
LBXVST	volatile compounds
LBXVTC	volatile compounds
LBXV3A	volatile compounds
LBXVTO	volatile compounds
LBXVXY	volatile compounds
LBX2DF	volatile compounds
LBXV2P	volatile compounds
LBXVNB	volatile compounds
URXUCL	bacterial infection
URXUGC	bacterial infection
LBXBCD	heavy metals
LBXBPB	heavy metals
LBXTHG	heavy metals
LBXIHG	heavy metals
LBXCOT	cotinine
URXUBA	heavy metals
URXUBE	heavy metals
URXUCD	heavy metals
URXUCO	heavy metals
URXUCS	heavy metals
URXUMO	heavy metals
URXUPB	heavy metals
URXUPT	heavy metals
URXUSB	heavy metals
URXUTL	heavy metals
URXUTU	heavy metals
URXUUR	heavy metals
LBXHCY	biochemistry
LBXMMA	biochemistry
LBXRBF	nutrients
LBXB12	nutrients
LBXFOL	nutrients
LBXTFR	biochemistry
LBXFER	biochemistry
URXUAS	heavy metals
URXUAS3	heavy metals
URXUAS5	heavy metals
URXUAB	heavy metals
URXUAC	heavy metals
URXUDMA	heavy metals
URXUMMA	heavy metals
URXUTM	heavy metals
URXUHG	heavy metals
URXUIO	heavy metals
LBXVID	nutrients
LBXVIC	nutrients
LBXGH	biochemistry
LBXGLU	biochemistry
LBXCPSI	biochemistry
LBXIN	hormone
LBXCRP	biochemistry
LBXBAP	biochemistry
LBXPT21	hormone
LBXP1	biochemistry
LBXP2	biochemistry
LBDP3	biochemistry
LBXTC	biochemistry
LBDHDD	biochemistry
LBXTR	biochemistry
LBDLDL	biochemistry
URXUCRSI	biochemistry
URXUMA	biochemistry
URXUMASI	biochemistry
LBXTO1	bacterial infection
LBXTO2	bacterial infection
LBXME	bacterial infection
LBDRUIU	bacterial infection
LBXVAR	bacterial infection
LBXDFS	heavy metals
LBXDFSF	heavy metals
LBDDWS	heavy metals
URXBPH	phenols
URXBP3	phenols
URX4TO	phenols
URXTRS	pesticides
LBXPFOA	polyflourochemicals
LBXPFOS	polyflourochemicals
LBXPFHS	polyflourochemicals
LBXEPAH	polyflourochemicals
LBXMPAH	polyflourochemicals
LBXPFDE	polyflourochemicals
LBXPFBS	polyflourochemicals
LBXPFHP	polyflourochemicals
LBXPFNA	polyflourochemicals
LBXPFSA	polyflourochemicals
LBXPFUA	polyflourochemicals
LBXPFDO	polyflourochemicals
URXMBP	phthalates
URXMCP	phthalates
URXMEP	phthalates
URXMHP	phthalates
URXMNP	phthalates
URXMOP	phthalates
URXMZP	phthalates
URXMNM	phthalates
URXMC1	phthalates
URXMHH	phthalates
URXMOH	phthalates
URXMIB	phthalates
URXECP	phthalates
LBXWBCSI	blood
LBXLYPCT	blood
LBXMOPCT	blood
LBXNEPCT	blood
LBXEOPCT	blood
LBXBAPCT	blood
LBDLYMNO	blood
LBDMONO	blood
LBDNENO	blood
LBDEONO	blood
LBDBANO	blood
LBXRBCSI	blood
LBXHGB	blood
LBXHCT	blood
LBXMCVSI	blood
LBXMCHSI	blood
LBXMC	blood
LBXRDW	blood
LBXPLTSI	blood
LBXMPSI	blood
URXOP1	diakyl
URXOP2	diakyl
URXOP3	diakyl
URXOP4	diakyl
URXOP5	diakyl
URXOP6	diakyl
CFDRIGHT	cognitive functioning
LBX028	pcbs
LBX066	pcbs
LBX074	pcbs
LBX105	pcbs
LBX118	pcbs
LBX156	pcbs
LBX157	pcbs
LBX167	pcbs
LBX189	pcbs
LBXD01	dioxins
LBXD02	dioxins
LBXD03	dioxins
LBXD04	dioxins
LBXD05	dioxins
LBXD07	dioxins
LBXF01	furans
LBXF02	furans
LBXF03	furans
LBXF04	furans
LBXF05	furans
LBXF06	furans
LBXF07	furans
LBXF08	furans
LBXF09	furans
LBXF10	furans
LBXPCB	pcbs
LBXTC2	pcbs
LBXHXC	pcbs
LBXTCD	dioxins
LBX044	pcbs
LBX049	pcbs
LBX052	pcbs
LBX087	pcbs
LBX099	pcbs
LBX101	pcbs
LBX110	pcbs
LBX128	pcbs
LBX138	pcbs
LBX146	pcbs
LBX149	pcbs
LBX151	pcbs
LBX153	pcbs
LBX170	pcbs
LBX172	pcbs
LBX177	pcbs
LBX178	pcbs
LBX180	pcbs
LBX183	pcbs
LBX187	pcbs
LBX194	pcbs
LBX195	pcbs
LBX196	pcbs
LBD199	pcbs
LBX206	pcbs
LBX209	pcbs
LBXHCB	pesticides
LBXBHC	pesticides
LBXGHC	pesticides
LBXPDE	pesticides
LBXPDT	pesticides
LBXODT	pesticides
LBXOXY	pesticides
LBXTNA	pesticides
LBXHPE	pesticides
LBXMIR	pesticides
LBXALD	pesticides
LBXDIE	pesticides
LBXEND	pesticides
LBXBB1	polybrominated ethers
LBXBR1	polybrominated ethers
LBXBR2	polybrominated ethers
LBXBR3	polybrominated ethers
LBXBR4	polybrominated ethers
LBXBR5	polybrominated ethers
LBXBR6	polybrominated ethers
LBXBR7	polybrominated ethers
LBXBR8	polybrominated ethers
LBXBR9	polybrominated ethers
LBXBR66	polybrominated ethers
LBXBR66L	polybrominated ethers
URXP01	hydrocarbons
URXP02	hydrocarbons
URXP03	hydrocarbons
URXP04	hydrocarbons
URXP05	hydrocarbons
URXP06	hydrocarbons
URXP07	hydrocarbons
URXP08	hydrocarbons
URXP10	hydrocarbons
URXP11	hydrocarbons
URXP12	hydrocarbons
URXP13	hydrocarbons
URXP14	hydrocarbons
URXP15	hydrocarbons
URXP16	hydrocarbons
URXP17	hydrocarbons
URXP19	hydrocarbons
URXP20	hydrocarbons
URXP21	hydrocarbons
URXP22	hydrocarbons
URXP24	hydrocarbons
CFDFINSH	cognitive functioning
LBXTV	bacterial infection
LBXBV	bacterial infection
LBXMS1	bacterial infection
LBXM1	bacterial infection
LBXMT1	bacterial infection
LBXMZ1	bacterial infection
LBXMC1	bacterial infection
LBXME1	bacterial infection
LBXMP1	bacterial infection
LBXMO1	bacterial infection
LBXMG1	bacterial infection
LBXML1	bacterial infection
LBXMR1	bacterial infection
LBXCD1	bacterial infection
LBXCH1	bacterial infection
LBXDY1	bacterial infection
LBXETA	bacterial infection
LBXETB	bacterial infection
LBXETC	bacterial infection
LBXETD	bacterial infection
LBXETH	bacterial infection
LBXTSS	bacterial infection
LBXPVL	bacterial infection
LBXSY1	bacterial infection
LBDSY3	bacterial infection
LBDSY4	bacterial infection
LBXEPP	biochemistry
LBXSEL	nutrients
LBXSAL	biochemistry
LBXSATSI	biochemistry
LBXSASSI	biochemistry
LBXSAPSI	biochemistry
LBXSBU	biochemistry
LBXSCA	biochemistry
LBXSCH	biochemistry
LBXSC3SI	biochemistry
LBXSGTSI	biochemistry
LBXSGL	biochemistry
LBXSIR	biochemistry
LBXSLDSI	hormone
LBXSPH	biochemistry
LBXSTB	biochemistry
LBXSTP	biochemistry
LBXSTR	biochemistry
LBXSUA	biochemistry
LBXSCRINV	biochemistry
LBXSNASI	biochemistry
LBXSKSI	biochemistry
LBXSCLSI	biochemistry
LBXSOSSI	biochemistry
LBXSGB	biochemistry
LBXIRN	nutrients
LBXTIB	biochemistry
LBDPCT	biochemistry
LBXVB6	nutrients
LBXVIE	nutrients
LBDATCSI	nutrients
LBXALC	nutrients
LBXACY	nutrients
LBXBEC	nutrients
LBXBCC	nutrients
LBXCBC	nutrients
LBXCLC	nutrients
LBXCLZ	nutrients
LBXCRY	nutrients
LBXDTC	nutrients
LBXGTC	nutrients
LBXLCC	nutrients
LBXLUT	nutrients
LBXLUZ	nutrients
LBXLYC	nutrients
LBXPHF	nutrients
LBXPHE	nutrients
LBXRPL	nutrients
LBXRST	nutrients
LBXVIA	nutrients
LBXZEA	nutrients
LBXIGE	allergen test
LBXID2	allergen test
LBXID1	allergen test
LBXIE1	allergen test
LBXIE5	allergen test
LBXII6	allergen test
LBXIM6	allergen test
LBXF13	allergen test
LBXIF1	allergen test
LBXIF2	allergen test
LBXIW1	allergen test
LBXIG5	allergen test
LBXIG2	allergen test
LBXIT7	allergen test
LBXIT3	allergen test
LBXF24	allergen test
LBXIM3	allergen test
LBXW11	allergen test
LBXE72	allergen test
LBXE74	allergen test
URXUMS	biochemistry
URXUCR	biochemistry
URXCRS	biochemistry
PHAFSTHR	biochemistry
PHAFSTMN	biochemistry
LBXGLT	biochemistry
LBXAPB	biochemistry
URXCCC	pesticides
LBXGLUSI	biochemistry
LBXINSI	hormone
LBXFB	biochemistry
URXNT	biochemistry
LBDHDL	biochemistry
LBXTO3	bacterial infection
LBXTO5	bacterial infection
URX14D	pesticides
URX1TB	pesticides
URX24D	pesticides
URX25T	pesticides
URX3TB	pesticides
URXATZ	pesticides
URXCBF	pesticides
URXDEE	pesticides
URXCPM	pesticides
URXDIZ	pesticides
URXPAR	pesticides
URXPCP	pesticides
URXPPX	pesticides
URXOPP	pesticides
URX4FP	pesticides
URXCB3	pesticides
URXCMH	pesticides
URXDPY	pesticides
URXMET	pesticides
URXOPM	diakyl
URXTCC	pesticides
URXACE	pesticides
LBXMI1	bacterial infection
LBXMF1	bacterial infection
